Substrates	Concentration	Strain_Media	Growth_Status	Temperature	References
Adenine	1± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenine	1± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenine	1± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenine	102± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Adenine	34± 10 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Acetic acid	658± 25 uM	BL21 DE3Luria-Bertani (LB) media	Stationary phase cultures (overnight culture)Shake flask	37 oC	Experimentally Determined
Adenosine monophosphate	2510± 183 uM	K120.2 g/L NH4Cl, 2.0 g/L (NH4)2SO4, 3.25 g/L KH2PO4, 2.5 g/L K2HPO4, 1.5 g/L NaH2PO4, 0.5 g/L MgSO4; trace substances: 10 mg/L CaCl2, 0.5 mg/L ZnSO4, 0.25 mg/L CuCl2, 0.25 mg/L MnSO4, 0.175 mg/L CoCl2, 0.125 mg/L H3BO3, 2.5 mg/L AlCl3, 0.5 mg/L Na2MoO4, 10	Stationary Phase, glucose limitedBioreactor, pH controlled, aerated, dilution rate=0.125 L/h	37 oC	PMID: 11488613
Adenosine monophosphate	281± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenosine monophosphate	156± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenosine monophosphate	101± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L acetate	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenosine monophosphate	700± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Adenosine	0.13± 0.0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Adenosine	62± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
beta-Alanine	12± 0 uM	BW2511348 mM Na2HPO4, 22 mM KH2PO4, 10 mM NaCl, 45 mM (NH4)2SO4, supplemented with 1 mM MgSO4, 1 mg/l thiamine·HCl, 5.6 mg/l CaCl2, 8 mg/l FeCl3, 1 mg/l MnCl2·4H2O, 1.7 mg/l ZnCl2, 0.43 mg/l CuCl2·2H2O, 0.6 mg/l CoCl2·2H2O and 0.6 mg/l Na2MoO4·2H2O. 4 g/L Gluco	Stationary Phase, glucose limitedBioreactor, pH controlled, O2 and CO2 controlled, dilution rate: 0.2/h	37 oC	PMID: 17379776
Cyclic AMP	35± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glucose	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
Cyclic AMP	83± 0 uM	K12 NCM3722Gutnick minimal complete medium (4.7 g/L KH2PO4; 13.5 g/L K2HPO4; 1 g/L K2SO4; 0.1 g/L MgSO4-7H2O; 10 mM NH4Cl) with 4 g/L glycerol	Mid-Log PhaseShake flask and filter culture	37 oC	PMID: 19561621
