Genes	Synonyms	Object ID
3'ETS-leuZ		G0-16636
aaeA	yhcQ	G7686
aaeB	yhcP	G7685
aaeR	yhcS // qseA	G7688
aaeX	yhcR	G7687
aas		EG11679
aat	ycaA	EG11112
abgA	ydaJ	G6670
abgB	ydaI	G6669
abgR		G6671
abgT	ydaH	EG12853
abpA	yfjL	G7363
abpB	yfjK	G7362
abrB	ybgN	G6384
accA		EG11647
accB	fabE	EG10275
accC	fabG	EG10276
accD	dedB // usg	EG10217
aceA	icl	EG10022
aceB	mas	EG10023
aceE		EG10024
aceF		EG10025
aceK		EG10026
ackA		EG10027
acnA	acn	EG11325
acnB	yacJ // yacI	EG12316
acpH	yajB	EG11095
acpP		EG50003
acpS	dpj	EG10247
acpT	yhhU	EG12221
acrA	sipB // Mb // lir // mbl // mtcA // nbsA	EG11703
acrB	acrE	EG11704
acrD	yffA	EG10014
acrE	envC	EG10266
acrF	envD	EG10267
acrR	ybaH	EG12116
acrZ	ybhT	G6396
acs	yfaC // acsA	EG11448
actP	yjcG	EG11942
actS	ygeR	G7484
ada		EG10029
add		EG10030
adeD	adeC(B.s.) // adu // yicP // ade	EG11692
adeP	yieG // purP	EG11724
adeQ	yicO	EG11691
adhE	adhC // ana	EG10031
adhP	yddN	G6775
adiA	adi	EG11501
adiC	yjdD // yjdE	EG12462
adiY		EG11966
adk	dnaW // plsA	EG10032
aegA	yffG	EG12409
aer	yqjJ // air	G7595
aes	ybaC	EG11101
afuC	fbpC // yagC	EG12340
agaB	yraD	EG12769
agaC	yraE	EG12770
agaD	yraF	G7635
agaI	yraG	G7636
agaR	yhaW	G7630
agaS	yraB	G7634
agaV	yhaY	G7632
agaW	yhaZ	G7633
agp		EG10033
agrA		G0-10751
agrB		G0-10752
ahpC	tpx // ssi8	EG11384
ahpF		EG11385
ahr	yjgB	EG11436
aidB		EG11811
ais	pagH // pmrG	G7165
alaA	yfbQ	G7184
alaB		G0-9281
alaC	yfdZ	G7242
alaE	ygaW	G7399
alaS	act // ala-act // lovB	EG10034
alaT	talA	EG30008
alaU	talD	EG30009
alaV		EG30010
alaW	alaWalpha	EG30011
alaX	alaWbeta	EG30012
aldA	ald	EG10035
aldB	yiaX	EG12292
alkA	aidA	EG11222
alkB	aidD	EG10037
allA	glxA2 // ybbT	G6275
allB	glxB3 // ybbX	G6281
allC	glxB7 // ylbB	G6285
allD	glxB8 // ylbC	G6286
allE	glxB6 // ylbA // ughY	G6284
allR	glxA3 // ybbU	G6276
allS	ybbS // glxA1	G6274
alpA		EG12112
alr	alr5	EG10001
alsA	yjcW	EG11959
alsB	yjcX	EG12458
alsC	yjcV	EG11958
alsE	yjcU	EG11957
alsK	yjcT	EG11956
alsR	yjcY // rpiR	G7821
alx	ygjT	G7607
amiA	yfeE	EG11823
amiB	yjeD	EG11363
amiC	ygdN	G7458
amiD	ybjR	G6452
amn		EG10039
ampC	ampA	EG10040
ampD		EG10041
ampE		EG10042
ampG		EG12183
ampH	yaiH	EG12867
amtB	ybaG	EG11821
amyA	yedC	EG11387
anmK	ydhH	G6880
ansA		EG10045
ansB		EG10046
ansP	yncF	G6764
apaG		EG10047
apaH	cfcB	EG10048
aphA	yjbP // hobH	EG11934
appA		EG10049
appB	cbdB // cyxB	EG11379
appC	cbdA // cyxA	EG11380
appX	yccB // cbdX	G0-10588
appY		EG10050
apt		EG10051
aqpZ	bniP	EG13270
araA		EG10052
araB		EG10053
araC		EG10054
araD		EG10055
araE		EG10056
araF		EG10057
araG		EG10058
araH	b1898 // b1899	EG10059
araJ	araT	EG10060
arcA	sfrA // cpxC // dye // fexA // msp // seg	EG10061
arcB		EG10062
arcZ	psrA16 // sraH // ryhA	G0-8871
arfA	yhdL	G0-10465
arfB	yaeJ	EG12354
argA	Arg2 // Arg1	EG10063
argB		EG10064
argC	Arg2	EG10065
argD	Arg1 // dapC // dtu	EG10066
argE		EG11286
argF		EG10067
argG		EG10068
argH		EG11223
argI		EG10069
argK	ygfD	EG11445
argL		G0-17012
argO	yggA	EG11159
argP	iciA	EG10490
argQ	argVdelta	EG30013
argR	Rarg // xerA	EG10070
argS	lov // lov-1	EG10071
argT		EG10072
argU	dnaY // pin	EG30014
argV	argValpha	EG30015
argW		EG30016
argX		EG30017
argY	argVbeta	EG30018
argZ	argVgamma	EG30019
ariR	ymgB	G6606
arnA	SAF // yfbG // pmrI	G7168
arnB	pmrH // yfbE	G7166
arnC	pmrF // yfbF	G7167
arnD	pmrJ // yfbH	G7169
arnE	yfbW	G0-10460
arnF	yfbJ	G7171
arnT	yfbI // pmrK	G7170
aroA		EG10073
aroB		EG10074
aroC		EG10075
aroD		EG10076
aroE		EG10077
aroF		EG10078
aroG		EG10079
aroH		EG10080
aroK		EG10081
aroL		EG10082
aroM		EG10083
aroP	aroR	EG10084
arpA	arp // yjaC	EG11208
arrS		G0-10694
arsB	arsF	EG12236
arsC	arsG	EG12237
arsR	arsE	EG12235
artI		EG11625
artJ		EG11628
artM		EG11627
artP		EG11624
artQ		EG11626
ascB	sac	EG10085
ascF	sac	EG10086
ascG	sac	EG10087
asd	dap // hom	EG10088
aslA	gppB // atsA	EG10089
aslB	gppB // atsB	EG10090
asmA	yegA	EG11361
asnA		EG10091
asnB		EG10092
asnC		EG10093
asnS	lcs // tss	EG10094
asnT		EG30020
asnU		EG30021
asnV		EG30022
asnW		G7069
aspA		EG10095
aspC		EG10096
aspS	tls	EG10097
aspT	tasC	EG30023
aspU		EG30024
aspV		EG30025
asr		G6855
astA	ydjV	G6943
astB	ydjT	G6941
astC	ydjW // argM // cstC	G6944
astD	ydjU	G6942
astE	ydjS	G6940
atoA		EG11670
atoB		EG11672
atoC		EG11668
atoD		EG11669
atoE		EG11671
atoS		EG11667
atpA	papA // uncA	EG10098
atpB	papD // uncB	EG10099
atpC	papG // uncC	EG10100
atpD	papB // uncD	EG10101
atpE	papH // uncE	EG10102
atpF	papF // uncF	EG10103
atpG	papC // uncG	EG10104
atpH	papE // uncH	EG10105
atpI	uncI	EG10106
avtA		EG10107
azoR	acpD	G6731
azuC		G0-10653
bacA	uppP	EG11665
baeR		EG11618
baeS		EG11617
bamA	yzzY // yzzN // ecfK // yaeT	G6093
bamB	yfgL	G7320
bamC	dapX // nlpB	EG10658
bamD	ecfD // yfiO	G7352
bamE	smpA // smqA	EG10952
barA	airS	EG11367
basR	pmrA	EG11615
basS	pmrB // dgkR	EG11614
bax		EG11360
baxL		G0-17040
bcp		EG10108
bcr	bicA // bicR // sur // suxA	EG11419
bcsA	yhjP // yhjO	EG12260
bcsB	yhjN	EG12259
bcsC	yhjL	EG12257
bcsE	yhjS	EG12263
bcsF	yhjT	EG12264
bcsG	yhjU	EG12265
bcsZ	bcsC // yhjM	EG12258
bdcA	yjgI	G7880
bdcR	yjgJ	G7882
bdm	yddX	G6776
beeE	ymfO	G6595
bepA	yfgC	G7311
betA		EG10109
betB		EG10110
betI		EG10111
betT		EG10112
bfd	yheA	EG11181
bfr		EG10113
bglA	yqfC // bglD	G495
bglB	blgA	EG10114
bglF	bglS	EG10115
bglG	bglC	EG10116
bglH	yieC	EG11364
bglJ	yjjR	G7948
bglX	glh // yohA	EG12013
bhsA	ycfR // comC	G6570
bioA		EG10117
bioB		EG10118
bioC		EG10119
bioD		EG10120
bioF		EG10121
bioH	bioB	EG10122
bioP	yigM	EG11471
bipA	typA // yihK	EG11837
birA	bioR // dhbB	EG10123
bisC		EG10124
blc	yjeL	G7837
blr		G0-9561
bluF	ycgF	G6603
bluR	ycgE	G6602
bolA		EG10125
borD	iss // vboR // bor // ybcU	G6312
brnQ	hrbA	EG12168
bsmA	yjfO	G7852
bssR	yliH	G6436
bssS	yceP	G6557
btsR	yehT	EG12006
btsS	yehU	EG12007
btsT	yjiY	G7942
btuB	bfe // cer	EG10126
btuC		EG10127
btuD		EG10128
btuE		EG10129
btuF	yadT	EG12334
btuR	cobA	EG10130
C0293		G0-8897
cadA	ldcI	EG10131
cadB		EG10132
cadC		EG10133
caiA	yaaO	EG11560
caiB	yaaN	EG11559
caiC	yaaM	EG11558
caiD	yaaL	EG11557
caiE		EG12608
caiF		G6088
caiT	yaaP	EG11561
can	yadF	EG12319
carA	arg // cap // pyrA	EG10134
carB	cap // pyrA	EG10135
cas1	ygbT	G7425
cas2	ygbF	EG12845
cas3	ygcB	EG12634
casA	ygcL // cse1	G7430
casB	ygcK // cse2	G7429
casC	ygcJ // cse4 // cas7	G7428
casD	ygcI // cas5e	G7427
casE	ygcH // cse3 // cas6e	G7426
cbeA	yeeU	G7084
cbl		G7071
cbpA		EG12193
cbpM	yccD	EG12194
cbrA	yidS	EG11714
cbrB	yieI	EG11726
cbrC	yieJ	EG11727
cbtA	yeeV	G7085
cca		EG10136
ccmA	yejW	EG12059
ccmB	yejV	EG12058
ccmC	yejT // yejU	EG12057
ccmD	yojM	EG12169
ccmE	yejS	EG12055
ccmF	yejR	EG12054
ccmG	yejQ // dsbE	EG12053
ccmH	yejP	EG12052
ccp	yhjA	EG12244
cdaR	sdaR // yaeG	EG12335
cdd		EG10137
cdgI	yeaI	G6971
cdh		EG10138
cdsA	cds	EG10139
cecR	ybiH	EG12406
cedA	ydjP	G6936
cfa	cdfA	EG11531
chaA		EG11753
chaB		EG12402
chaC		EG12403
chbA	celC	EG10142
chbB	celA	EG10140
chbC	celB // hic	EG10141
chbF	ydjD // celF	EG10144
chbG	celG // ydjC	EG12198
chbR	celD	EG10143
cheA		EG10146
cheB		EG10147
cheR	cheX	EG10148
cheW		EG10149
cheY		EG10150
cheZ		EG10151
chiA	yheB	EG11237
chiP	ybfM	G6370
chiQ	ybfN	G6371
chiX	sroB // rybC // micM	G0-9382
chiZ		G0-17083
cho	ydjQ	G6937
chpB	yjfE // chpBK	EG12096
chpS	chpBI // yjfB	EG11250
cirA	cir // feuA	EG10155
citC	ybeO	G6344
citD	ybdX	G6343
citE	ybdW	G6342
