Matches	Ontology -  all instances of class from New SmartTable with a nucleotide	Synonyms	Object ID
a nucleotide	(R)-NADHX	(6R)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	CPD0-2472
a nucleotide	(R)-NADPHX		CPD-14133
a nucleotide	(S)-NADHX	(6S)-6-beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide	CPD-653
a nucleotide	(S)-NADPHX	(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide phosphate	CPD0-2474
a nucleotide	1,2-dihydro-beta-NADP	2-dihydro-nicotinamide adenine dinucleotide phosphate // 2DHNADP	CPD-18085
a nucleotide	1-methyl-dAMP	N1-methyl-2'deoxyadenosine 5'-monophosphate // 1-methyldeoxyadenosine monophosphate	CPD-20035
a nucleotide	1-methyl-dATP	N1-methyl-2'-deoxyadenosine 5'-triphosphate // 1-methyldeoxyadenosine triphosphate	CPD-20036
a nucleotide	2''-O-acetyl-ADP-ribose	2''-OAADPr	CPD-14762
a nucleotide	2'-deoxy-5-hydroxymethylcytidine-5'-triphosphate	hydroxymethyl-dCTP	DEOXY-OH-METHYLCYTIDINE-TRIPHOSPHATE
a nucleotide	2'-deoxyadenosine 3'-monophosphate	2'-deoxy-3'AMP // 2'-Deoxy-3'-adenosine monophosphate // 2'-deoxy-3'-adenylic acid	CPD-15391
a nucleotide	2'-deoxycytidine 3'-monophosphate		CPD-15392
a nucleotide	2'-deoxyguanosine 3'-monophosphate	2'-Deoxyguanosine 3'-(dihydrogen phosphate) // 2'-Deoxyguanosine 3'-phosphate // 2'-deoxy-3'GMP	CPD-15390
a nucleotide	2'-deoxyuridine 3'-monophosphate		CPD-15393
a nucleotide	2-hydroxy-dADP	2-OH-dADP	CPD0-2643
a nucleotide	2-hydroxy-dAMP	2-OH-dAMP // 2-hydroxy-2'-deoxyadenosine 5'-monophosphate	CPD-13852
a nucleotide	2-hydroxy-dATP	2-hydroxy-2'-deoxyadenosine 5'-triphosphate // 2'-deoxyisoguanosine triphosphate	CPD-13851
a nucleotide	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	CDP-ME-2P // CDP-methyl-D-erylthritol 2-phosphate // 4-diphosphocytidyl-2C-methyl-D-erythritol 2-phosphate // 4-diphosphocytidyl-2-C-methylerythritol 2-phosphate	2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET
a nucleotide	3''-O-acetyl-ADP-ribose		CPD-14763
a nucleotide	3-acetyl pyridine adenine dinucleotide	3-acetylpyridine-NAD	CPD0-1222
a nucleotide	3-acetyl-NADH		CPD0-2573
a nucleotide	3-pyridinecarboxaldehyde adenine dinucleotide		CPD0-1364
a nucleotide	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	CDP-ME // CDP-methyl-D-erythritol // 4-diphosphocytidyl-2C-methyl-D-erythritol // 4-diphosphocytidyl-2-C-methylerythritol	4-CYTIDINE-5-DIPHOSPHO-2-C
a nucleotide	5'-D-arabinosyladenine triphosphate		CPD0-1194
a nucleotide	5-amino-6-(5-phospho-D-ribosylamino)uracil	5-amino-6-(ribosylamino)-2,4-(1H,3H)-pyrimidinedione 5'-phosphate // 5-amino-6-(5'-phosphoribosylamino)uracil	CPD-602
a nucleotide	5-fluorouridine 5'-monophosphate	5-F-UMP // 5-fluorouridine monophosphate // fosfluoridine	CPD-22690
a nucleotide	5-hydroxy-CMP	5-hydroxycytidine monophosphate	CPD-15158
a nucleotide	5-hydroxy-CTP	5-hydroxycytidine triphosphate	5-HYDROXY-CTP
a nucleotide	5-methyl-CTP	m5CTP	CPD0-2549
a nucleotide	5-methyl-dCTP	5-methyldeoxycytidine triphosphate // 5-methyl-2'-deoxycytidine-5'-triphosphate // 5-methyl deoxycytidine-5'-triphosphate // cytidine 5'-(tetrahydrogen triphosphate), 2'-deoxy-5-methyl- // [[[5-[(4-amino-5-methyl-2-oxo-1H-pyrimidin-1-yl)]-3-hydroxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphinoyl]oxy-hydroxy-phosphinoyl]oxyphosphonic acid	CPD-1094
a nucleotide	8-hydroxy-dADP		8-hydroxy-dADP
a nucleotide	8-hydroxy-dATP		CPD0-1093
a nucleotide	8-hydroxy-dGTP	8-hydroxydeoxyguanosine 5'-triphosphate	8-hydroxy-dGTP
a nucleotide	8-oxo-dADP		8-oxo-dADP
a nucleotide	8-oxo-dGTP	7,8-dihydro-8-oxo-2'-dGTP // 2'-deoxy-7,8-dihydro-8-oxo-guanosine 5'-triphosphate	CPD0-1905
a nucleotide	8-oxo-dGTP	7,8-dihydro-8-oxo-2'-dGTP // 2'-deoxy-7,8-dihydro-8-oxo-guanosine 5'-triphosphate	8-Oxo-dGTP
a nucleotide	a [protein]-N6-[1,1-(5-adenosylyl-alpha-D-ribose-1,2-di-O-yl)ethyl]-L-lysine		CPD-21533
a nucleotide	adenosine 2',3'-cyclic monophosphate	cyclic 2',3'-AMP // 2',3'-Cyclic AMP // adenosine 2',3'-(hydrogen phosphate) // (2R,3aR,4R,6R,6aR)-4-(6-amino-9H-purin-9-yl)-6-(hydroxymethyl)tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-2-ol 2-oxide // (3aR,4R,6R,6aR)-4-(6-amino-9H-purin-9-yl)-6-(hydroxymethyl)tetrahydrofuro[3,4-d][1,3,2]dioxaphosphol-2-ol 2-oxide // adenosine cyclic 2',3'-(hydrogen phosphate) // cyclic 2',3'-adenosine monophosphate	CPD-3707
