MolName	MolTotalCounts	MolRequestedCounts
PHOSPHO-ARCB-CPLX[i]	0	0
ADP[c]	409747	0
PROTON[c]	46	0
ARCB-CPLX[i]	40	0
ATP[c]	7024236	0
PHOSPHO-ARCA[c]	0	0
ARCA-MONOMER[c]	2536	0
PI[c]	365845	0
WATER[c]	31274064988	0
PHOSPHO-BAES-INDOLE-CPLX[i]	0	0
BAES-INDOLE-CPLX[i]	0	0
PHOSPHO-BAER[c]	0	0
BAER-MONOMER[c]	155	0
PHOSPHO-BAES[i]	0	0
BAES-MONOMER[i]	21	0
PHOSPHO-BASS-FE+3-CPLX[i]	0	0
BASS-FE+3-CPLX[i]	0	0
PHOSPHO-BASR[c]	0	0
BASR-MONOMER[c]	64	0
PHOSPHO-BASS[i]	0	0
BASS-MONOMER[i]	48	0
PHOSPHO-DCUS-SUC-CPLX[i]	0	0
DCUS-SUC-CPLX[i]	0	0
PHOSPHO-DCUR[c]	0	0
DCUR-MONOMER[c]	63	0
PHOSPHO-DCUS[i]	0	0
DCUS-MONOMER[i]	14	0
PHOSPHO-NARX-NITRATE-CPLX[i]	0	0
NARX-NITRATE-CPLX[i]	0	0
PHOSPHO-NARL[c]	0	0
NARL-MONOMER[c]	687	0
PHOSPHO-NARX[i]	0	0
NARX-CPLX[i]	11	0
PHOSPHO-PHOQ[i]	0	0
CPLX0-8168[i]	26	0
PHOSPHO-PHOP[c]	0	0
PHOP-MONOMER[c]	760	0
PHOSPHO-PHOR[i]	0	0
PHOR-CPLX[i]	4	0
PHOSPHO-PHOB[c]	0	0
PHOB-MONOMER[c]	41	0
