MolName	MolCounts
PHOSPHO-ARCB-CPLX[i]	0
ADP[c]	409747
PROTON[c]	46
ARCB-CPLX[i]	40
ATP[c]	7024236
PHOSPHO-ARCA[c]	0
ARCA-MONOMER[c]	2536
PI[c]	365845
WATER[c]	31274064988
PHOSPHO-BAES-INDOLE-CPLX[i]	0
BAES-INDOLE-CPLX[i]	0
PHOSPHO-BAER[c]	0
BAER-MONOMER[c]	155
PHOSPHO-BAES[i]	0
BAES-MONOMER[i]	21
PHOSPHO-BASS-FE+3-CPLX[i]	0
BASS-FE+3-CPLX[i]	0
PHOSPHO-BASR[c]	0
BASR-MONOMER[c]	64
PHOSPHO-BASS[i]	0
BASS-MONOMER[i]	48
PHOSPHO-DCUS-SUC-CPLX[i]	0
DCUS-SUC-CPLX[i]	0
PHOSPHO-DCUR[c]	0
DCUR-MONOMER[c]	63
PHOSPHO-DCUS[i]	0
DCUS-MONOMER[i]	14
PHOSPHO-NARX-NITRATE-CPLX[i]	0
NARX-NITRATE-CPLX[i]	0
PHOSPHO-NARL[c]	0
NARL-MONOMER[c]	687
PHOSPHO-NARX[i]	0
NARX-CPLX[i]	11
PHOSPHO-PHOQ[i]	0
CPLX0-8168[i]	26
PHOSPHO-PHOP[c]	0
PHOP-MONOMER[c]	760
PHOSPHO-PHOR[i]	0
PHOR-CPLX[i]	4
PHOSPHO-PHOB[c]	0
PHOB-MONOMER[c]	41
