MolName	MolTotalCounts	MolRequestedCounts
EG10050_RNA__PD00288	0	0
EG10114_RNA__PD00288	0	0
EG10115_RNA__PD00288	0	0
EG10116_RNA__PD00288	0	0
EG10131_RNA__PD00288	0	0
EG10132_RNA__PD00288	0	0
EG10133_RNA__PD00288	0	0
EG10173_RNA__PD00288	0	0
EG10174_RNA__PD00288	0	0
EG10188_RNA__PD00288	0	0
EG10309_RNA__PD00288	0	0
EG10312_RNA__PD00288	0	0
EG10313_RNA__PD00288	0	0
EG10319_RNA__PD00288	0	0
EG10320_RNA__PD00288	0	0
EG10524_RNA__PD00288	0	0
EG10527_RNA__PD00288	0	0
EG10531_RNA__PD00288	0	0
EG10547_RNA__PD00288	0	0
EG10653_RNA__PD00288	0	0
EG10654_RNA__PD00288	0	0
EG10655_RNA__PD00288	0	0
EG10771_RNA__PD00288	0	0
EG10772_RNA__PD00288	0	0
EG10773_RNA__PD00288	0	0
EG10821_RNA__PD00288	0	0
EG10921_RNA__PD00288	0	0
EG11125_RNA__PD00288	0	0
EG11126_RNA__PD00288	0	0
EG11127_RNA__PD00288	0	0
EG11237_RNA__PD00288	0	0
EG11263_RNA__PD00288	0	0
EG11359_RNA__PD00288	0	0
EG11398_RNA__PD00288	0	0
EG11399_RNA__PD00288	0	0
EG11400_RNA__PD00288	0	0
EG11415_RNA__PD00288	0	0
EG11495_RNA__PD00288	0	0
EG11544_RNA__PD00288	0	0
EG11554_RNA__PD00288	0	0
EG11609_RNA__PD00288	0	0
EG11610_RNA__PD00288	0	0
EG11889_RNA__PD00288	0	0
EG11890_RNA__PD00288	0	0
EG11966_RNA__PD00288	0	0
EG11974_RNA__PD00288	0	0
EG12228_RNA__PD00288	0	0
EG12240_RNA__PD00288	0	0
EG12241_RNA__PD00288	0	0
EG12242_RNA__PD00288	0	0
EG12243_RNA__PD00288	0	0
EG12385_RNA__PD00288	0	0
EG12845_RNA__PD00288	0	0
EG50009_RNA__PD00288	0	0
G6619_RNA__PD00288	0	0
G6789_RNA__PD00288	0	0
G6791_RNA__PD00288	0	0
G7055_RNA__PD00288	0	0
G7425_RNA__PD00288	0	0
G7426_RNA__PD00288	0	0
G7427_RNA__PD00288	0	0
G7428_RNA__PD00288	0	0
G7429_RNA__PD00288	0	0
G7430_RNA__PD00288	0	0
G7701_RNA__PD00288	0	0
G7702_RNA__PD00288	0	0
G7703_RNA__PD00288	0	0
G7704_RNA__PD00288	0	0
G7705_RNA__PD00288	0	0
G7706_RNA__PD00288	0	0
G7707_RNA__PD00288	0	0
G7709_RNA__PD00288	0	0
G7710_RNA__PD00288	0	0
G7946_RNA__PD00288	0	0
G7947_RNA__PD00288	0	0
G7948_RNA__PD00288	0	0
