MolName	MolCounts
6S-RNA__alpha	1
C0067-RNA__alpha	1
C0293-RNA__alpha	1
C0299-RNA__alpha	1
C0343-RNA__alpha	1
C0362-RNA__alpha	1
C0465-RNA__alpha	1
C0614-RNA__alpha	1
C0664-RNA__alpha	1
C0719-RNA__alpha	1
C0730-RNA__alpha	1
CSRB-RNA__alpha	1
CSRC-RNA__alpha	1
DICF-RNA__alpha	1
DSRA-RNA__alpha	1
EG10001_RNA__alpha	1
EG10002_RNA__alpha	1
EG10003_RNA__alpha	1
EG10004_RNA__alpha	1
EG10006_RNA__PHOSPHO-DCUR	0
EG10006_RNA__alpha	1
EG10007_RNA__CPLX0-228	0
EG10007_RNA__alpha	1
EG10008_RNA__alpha	1
EG10010_RNA__alpha	1
EG10011_RNA__alpha	1
EG10012_RNA__alpha	1
EG10013_RNA__alpha	1
EG10014_RNA__PHOSPHO-BAER	0
EG10014_RNA__alpha	1
EG10015_RNA__alpha	1
EG10016_RNA__alpha	1
EG10017_RNA__alpha	1
EG10018_RNA__alpha	1
EG10020_RNA__alpha	1
EG10021_RNA__alpha	1
EG10022_RNA__alpha	1
EG10023_RNA__alpha	1
EG10024_RNA__alpha	1
EG10025_RNA__alpha	1
EG10026_RNA__alpha	1
EG10027_RNA__alpha	1
EG10028_RNA__alpha	1
EG10029_RNA__alpha	1
EG10030_RNA__alpha	1
EG10031_RNA__alpha	1
EG10032_RNA__alpha	1
EG10033_RNA__alpha	1
EG10034_RNA__alpha	1
EG10035_RNA__MONOMER0-160	0
EG10035_RNA__PHOSPHO-ARCA	0
EG10035_RNA__alpha	1
EG10036_RNA__alpha	1
EG10037_RNA__alpha	1
EG10039_RNA__alpha	1
EG10040_RNA__alpha	1
EG10041_RNA__alpha	1
EG10042_RNA__alpha	1
EG10043_RNA__alpha	1
EG10044_RNA__alpha	1
EG10045_RNA__alpha	1
EG10046_RNA__FNR-4FE-4S-CPLX	0
EG10046_RNA__alpha	1
EG10047_RNA__alpha	1
EG10048_RNA__alpha	1
EG10049_RNA__alpha	1
EG10050_RNA__PD00288	0
EG10050_RNA__alpha	1
EG10051_RNA__alpha	1
EG10052_RNA__CPLX-172	0
EG10052_RNA__alpha	1
EG10053_RNA__CPLX-172	0
EG10053_RNA__alpha	1
EG10054_RNA__alpha	1
EG10055_RNA__CPLX-172	0
EG10055_RNA__alpha	1
EG10056_RNA__alpha	1
EG10057_RNA__alpha	1
EG10058_RNA__alpha	1
EG10059_RNA__alpha	1
EG10060_RNA__CPLX-172	0
EG10060_RNA__alpha	1
EG10061_RNA__alpha	1
EG10062_RNA__alpha	1
EG10063_RNA__CPLX0-228	0
EG10063_RNA__alpha	1
EG10064_RNA__CPLX0-228	0
EG10064_RNA__alpha	1
EG10065_RNA__CPLX0-228	0
