MolName	MolTotalCounts	MolRequestedCounts
2-3-DIHYDROXYBENZOATE[c]	102436	0
2-KETOGLUTARATE[c]	321944	0
4-hydroxybenzoate[c]	38047	0
ACETOACETYL-COA[c]	16097	0
ACETYL-COA[c]	446331	0
ACETYL-P[c]	804860	0
ADENINE[c]	1097	0
ADENOSINE[c]	95	0
ADP-D-GLUCOSE[c]	3146	0
ADP[c]	409747	0
AMP[c]	204873	0
ANTHRANILATE[c]	2560	0
APS[c]	4829	0
ARG[c]	417064	0
ASN[c]	373162	0
ATP[c]	7024236	0
BIOTIN[c]	15035	0
CA+2[c]	1888253	0
CA+2[p]	73169	0
CARBAMYUL-L-ASPARTATE[c]	431697	0
CHORISMATE[c]	74508	0
CIS-ACONITATE[c]	11707	0
CIT[c]	1463382	0
CL-[c]	1888253	0
CMP[c]	263408	0
CO+2[c]	9151	0
CO+2[p]	73169	0
CO-A[c]	1024367	0
CPD-12115[c]	74508	0
CPD-12261[p]	1376678	0
CPD-12575[c]	1829228	0
CPD-12819[c]	30691441	0
CPD-12824[c]	2045777	0
CPD-13469[c]	878029	0
CPD-2961[c]	2780426	0
CPD-8260[c]	7365308	0
CPD-9956[c]	74508	0
CPD0-939[c]	2816557	0
CTP[c]	1975566	0
CYS[c]	8780	0
CYTIDINE[c]	1902	0
CYTOSINE[c]	10243	0
DAMP[c]	6438	0
DATP[c]	11707	0
DCTP[c]	25609	0
DEOXYADENOSINE[c]	2048	0
DEOXYGUANOSINE[c]	380	0
DGMP[c]	37316	0
DGTP[c]	11707	0
DI-H-OROTATE[c]	8780	0
DIHYDROXY-ACETONE-PHOSPHATE[c]	270725	0
ENTEROBACTIN[c]	74508	0
FAD[c]	124387	0
FE+2[c]	2435816	0
FE+2[p]	73169	0
FRUCTOSE-16-DIPHOSPHATE[c]	10975369	0
FUM[c]	87802	0
G3P[c]	1097536	0
GDP[c]	497550	0
GLC-D-LACTONE[c]	731691	0
GLN[c]	2780426	0
GLT[c]	70242362	0
GLUCONATE[c]	30731	0
GLUTATHIONE[c]	12438751	0
GLYCERATE[c]	1024367	0
GLYCEROL-3P[c]	35852	0
GLY[c]	1902397	0
GMP[c]	17560	0
GTP[c]	3585287	0
GUANINE[c]	139021	0
GUANOSINE[c]	1170	0
HISTIDINOL[c]	9511	0
HIS[c]	49755	0
HOMO-CYS[c]	270725	0
ILE[c]	79022	0
K+[c]	70805705	0
L-ALPHA-ALANINE[c]	1902397	0
L-ASPARTATE[c]	3073103	0
L-CITRULLINE[c]	1024367	0
L-ORNITHINE[c]	7316	0
L-SELENOCYSTEINE[c]	17560	0
LEU[c]	140484	0
LYS[c]	299993	0
MALONYL-COA[c]	25609	0
MAL[c]	1243875	0
METHYLENE-THF[c]	69831	0
MET[c]	109753	0
MG+2[c]	3146962	0
MN+2[c]	250902	0
MN+2[p]	73169	0
N-ACETYL-D-GLUCOSAMINE-1-P[c]	59998	0
N-ALPHA-ACETYLORNITHINE[c]	31462	0
NADH[c]	60730	0
NADPH[c]	87802	0
NADP[c]	1536	0
NAD[c]	1902397	0
NI+2[c]	117062	0
NI+2[p]	73169	0
OXYGEN-MOLECULE[p]	73169	0
PHENYL-PYRUVATE[c]	65852	0
PHE[c]	13170	0
PHOSPHO-ENOL-PYRUVATE[c]	131704	0
PI[c]	365845	0
PI[p]	73169	0
PPI[c]	365845	0
PROPIONYL-COA[c]	3877	0
PROTOHEME[c]	74508	0
PROTON[c]	46	0
PRO[c]	285359	0
PUTRESCINE[c]	11116179	0
PYRIDOXAL_PHOSPHATE[c]	67492	0
QUINOLINATE[c]	8780	0
REDUCED-MENAQUINONE[c]	74508	0
RIBOFLAVIN[c]	13902	0
S-ADENOSYLMETHIONINE[c]	131704	0
SER[c]	49755	0
SHIKIMATE[c]	10243	0
SIROHEME[c]	74508	0
SPERMIDINE[c]	2253306	0
SUC-COA[c]	168288	0
SUC[c]	417064	0
TDP[c]	278042	0
THF[c]	69162	0
THIAMINE-PYROPHOSPHATE[c]	67826	0
THR[c]	131704	0
TRP[c]	8780	0
TTP[c]	3365779	0
TYR[c]	21219	0
UDP-GLUCURONATE[c]	417064	0
UDP-N-ACETYL-D-GLUCOSAMINE[c]	6731559	0
UDP[c]	1317044	0
UMP[c]	17560	0
UNDECAPRENYL-DIPHOSPHATE[c]	18376	0
URIDINE[c]	1536551	0
UTP[c]	6073037	0
VAL[c]	2926765	0
WATER[c]	31274064988	0
ZN+2[c]	123544	0
ZN+2[p]	73169	0
glycogen-monomer[c]	48311223	0
