MolName	MolTotalCounts	MolRequestedCounts
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]	137	0
2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	208	0
2-ISOPROPYLMALATESYN-MONOMER[c]	1386	0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	613	0
2OXOGLUTARATEDEH-CPLX[i]	89	0
3-ISOPROPYLMALDEHYDROG-CPLX[c]	1112	0
3-ISOPROPYLMALISOM-CPLX[c]	2808	0
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX[c]	181	0
3-OXOACYL-ACP-SYNTHII-CPLX[c]	515	0
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]	102	0
6PFK-1-CPX[c]	554	0
6PFK-2-CPX[c]	62	0
6PGLUCONDEHYDROG-CPLX[c]	2159	0
6PGLUCONOLACT-MONOMER[c]	833	0
7-ALPHA-HYDROXYSTEROID-DEH-CPLX[c]	103	0
7KAPSYN-CPLX[c]	50	0
AAS-MONOMER[i]	52	0
ABC-12-CPLX[i]	120	0
ABC-13-CPLX[i]	60	0
ABC-14-CPLX[i]	27	0
ABC-15-CPLX[i]	102	0
ABC-2-CPLX[i]	12	0
ABC-20-CPLX[i]	2	0
ABC-22-CPLX[i]	260	0
ABC-23-CPLX[i]	1	0
ABC-24-CPLX[i]	39	0
ABC-25-CPLX[i]	37	0
ABC-26-CPLX[i]	43	0
ABC-27-CPLX[i]	39	0
ABC-3-CPLX[i]	28	0
ABC-304-CPLX[i]	101	0
ABC-33-CPLX[i]	6	0
ABC-34-CPLX[i]	17	0
ABC-4-CPLX[i]	37	0
ABC-41-CPLX[i]	6	0
ABC-42-CPLX[i]	3	0
ABC-49-CPLX[i]	16	0
ABC-56-CPLX[i]	2	0
ABC-58-CPLX[i]	2	0
ABC-6-CPLX[i]	64	0
ABC-63-CPLX[i]	29	0
ABC-7-CPLX[i]	123	0
ABC-70-CPLX[i]	137	0
ABC-8-CPLX[i]	52	0
ACETATEKINA-MONOMER[c]	1700	0
ACETOACETYL-COA-TRANSFER-CPLX[c]	0	0
ACETOLACTSYNI-CPLX[c]	416	0
ACETOLACTSYNII-CPLX[c]	24	0
ACETOLACTSYNIII-CPLX[c]	163	0
ACETYL-COA-ACETYLTRANSFER-CPLX[c]	81	0
ACETYL-COA-CARBOXYLTRANSFER-CPLX[c]	555	0
