MolName	MolTotalCounts	MolRequestedCounts
2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	208	0
3-ISOPROPYLMALDEHYDROG-CPLX[c]	1112	0
6PFK-1-CPX[c]	554	0
6PFK-2-CPX[c]	62	0
7-ALPHA-HYDROXYSTEROID-DEH-CPLX[c]	103	0
7KAPSYN-CPLX[c]	50	0
ACETOLACTSYNI-CPLX[c]	416	0
ACETOLACTSYNII-CPLX[c]	24	0
ACETYLORNDEACET-CPLX[c]	271	0
ACETYLORNTRANSAM-CPLX[c]	200	0
ACNEULY-CPLX[c]	22	0
ADENPRIBOSYLTRAN-CPLX[c]	967	0
ADENYLATECYC-MONOMER[c]	3	0
ADENYLOSUCCINATE-SYN-DIMER[c]	2034	0
ADENYLYLSULFKIN-CPLX[c]	145	0
ALAS-CPLX[c]	683	0
ALD-CPLX[c]	201	0
ANGLYC3PDEHYDROG-CPLX[i]	81	0
ANSB-CPLX[c]	4	0
ANTHRANSYN-CPLX[c]	263	0
APHA-CPLX[p]	15	0
ARGS-MONOMER[c]	700	0
AROA-MONOMER[c]	1671	0
AROB-MONOMER[c]	84	0
AROE-MONOMER[c]	61	0
AROF-CPLX[c]	817	0
AROG-CPLX[c]	1702	0
AROH-CPLX[c]	331	0
ASNS-CPLX[c]	1597	0
ASNSYNB-CPLX[c]	417	0
ASPAMINOTRANS-DIMER[c]	3479	0
ASPARTASE-CPLX[c]	20	0
ASPCARBTRANS-CPLX[c]	1633	0
ASPKINIHOMOSERDEHYDROGI-CPLX[c]	592	0
ASPS-CPLX[c]	536	0
BIOTIN-CARBOXYL-CPLX[c]	599	0
BIOTIN-SYN-CPLX[c]	423	0
BIOTINLIG-MONOMER[c]	60	0
BRANCHED-CHAINAMINOTRANSFER-CPLX[c]	209	0
CARBPSYN-CPLX[c]	821	0
CHORISMUTPREPHENDEHYDRAT-CPLX[c]	1020	0
CHORISMUTPREPHENDEHYDROG-CPLX[c]	683	0
CHORPYRLY-MONOMER[c]	101	0
CITRATE-SI-SYNTHASE[c]	950	0
CMPKI-MONOMER[c]	92	0
CPLX0-1262[c]	46	0
CPLX0-1541[c]	772	0
CPLX0-1683[c]	32	0
CPLX0-1962[c]	357	0
CPLX0-2061[c]	1	0
CPLX0-234[c]	20	0
CPLX0-235[i]	1230	0
CPLX0-237[c]	0	0
CPLX0-243[c]	2151	0
CPLX0-254[c]	3	0
CPLX0-303[c]	171	0
CPLX0-3641[c]	7	0
CPLX0-3721[c]	240	0
CPLX0-3741[c]	22	0
CPLX0-3929[c]	24	0
CPLX0-3936[c]	14	0
CPLX0-3941[c]	3	0
CPLX0-3950[c]	86	0
CPLX0-3952[c]	349	0
CPLX0-3954[c]	299	0
CPLX0-3971[c]	156	0
CPLX0-682[c]	22	0
CPLX0-721[c]	67	0
CPLX0-7426[c]	321	0
CPLX0-743[c]	76	0
CPLX0-7462[c]	2	0
CPLX0-7466[c]	5	0
CPLX0-7525[c]	10	0
CPLX0-7615[c]	1	0
CPLX0-7622[c]	1	0
CPLX0-7625[c]	116	0
CPLX0-7633[c]	2	0
CPLX0-7643[c]	4972	0
CPLX0-7660[c]	219	0
CPLX0-7694[c]	3	0
CPLX0-7695[c]	39	0
CPLX0-7722[c]	0	0
CPLX0-7723[c]	7	0
CPLX0-7732[c]	19	0
CPLX0-7741[c]	3	0
CPLX0-7744[c]	17	0
CPLX0-7776[c]	1	0
CPLX0-7788[c]	5	0
CPLX0-7808[c]	22	0
CPLX0-7811[c]	45	0
CPLX0-7820[c]	1	0
CPLX0-7847[c]	20	0
CPLX0-7878[c]	0	0
CPLX0-7912[c]	3	0
CPLX0-7932[c]	186	0
CPLX0-7951[c]	2	0
CPLX0-7989[c]	39	0
CPLX0-7990[c]	27	0
CPLX0-7997[c]	32	0
CPLX0-8014[c]	153	0
CPLX0-8015[c]	40	0
CPLX0-8032[c]	2	0
CPLX0-8098[c]	6	0
CPLX0-8106[c]	88	0
CPLX0-8122[c]	75	0
CPLX0-8128[c]	82	0
CPLX0-8160[i]	211	0
CPLX0-8202[c]	40	0
CPLX0-861[c]	184	0
CPLXECOLI-7943[c]	64	0
CPM-KDOSYNTH-MONOMER[c]	475	0
CTPSYN-CPLX[c]	410	0
CYSS-MONOMER[c]	654	0
CYSSYNMULTI-CPLX[c]	37	0
CYSTATHIONINE-BETA-LYASE-CPLX[c]	162	0
DALADALALIGA-MONOMER[c]	310	0
DALADALALIGB-CPLX[c]	90	0
DAPASYN-CPLX[c]	151	0
DCTP-DEAM-CPLX[c]	52	0
DCYSDESULF-CPLX[c]	309	0
DEOA-CPLX[c]	2	0
DEOD-CPLX[c]	536	0
DEOXYRIBOSE-P-ALD-MONOMER[c]	284	0
DGTPTRIPHYDRO-CPLX[c]	13	0
DIHYDRODIPICSYN-CPLX[c]	392	0
DIHYDROOROT-CPLX[c]	1429	0
DIMESULFREDUCT-CPLX[i]	4	0
DSERDEAM-MONOMER[c]	97	0
DTDPGLUCDEHYDRAT-CPLX[c]	349	0
DUTP-PYROP-CPLX[c]	258	0
DXPREDISOM-CPLX[c]	42	0
E1P-CPLX[c]	416	0
EG10043-MONOMER[c]	217	0
EG10048-MONOMER[c]	121	0
EG10595-MONOMER[c]	65	0
EG11177-MONOMER[c]	138	0
EG11189-MONOMER[c]	65	0
EG11202-MONOMER[c]	277	0
EG11239-MONOMER[c]	323	0
EG11268-MONOMER[c]	484	0
EG11288-MONOMER[c]	64	0
EG11339-MONOMER[c]	82	0
EG11433-MONOMER[c]	616	0
EG11440-MONOMER[c]	1173	0
EG11470-MONOMER[c]	235	0
EG11736-MONOMER[c]	436	0
EG11817-MONOMER[c]	79	0
EG11850-MONOMER[c]	82	0
