MolName	MolCounts
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER[i]	137
1-PFK-MONOMER[c]	0
2-DEHYDROPANTOATE-REDUCT-MONOMER[c]	208
2-ISOPROPYLMALATESYN-MONOMER[c]	1386
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER[c]	613
2-OCTAPRENYLPHENOL-HYDROX-MONOMER[c]	35
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	5
3-ISOPROPYLMALDEHYDROG-MONOMER[c]	0
3-OXOACYL-ACP-REDUCT-MONOMER[c]	3
3-OXOACYL-ACP-SYNTHII-MONOMER[c]	0
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER[i]	102
6PFK-1-MONOMER[c]	3
6PFK-2-MONOMER[c]	1
6PGLUCONDEHYDROG-MONOMER[c]	1
6PGLUCONOLACT-MONOMER[c]	833
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	3
7KAPSYN-MONOMER[c]	0
AAS-MONOMER[i]	52
ABC-MONOMER[i]	40
ABGT-MONOMER[i]	12
ACETATEKINA-MONOMER[c]	1700
ACETOLACTSYNIII-HCHAIN-MONOMER[c]	488
ACETOLACTSYNIII-ICHAIN-MONOMER[c]	1
ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	2
ACETYLGLUTKIN-MONOMER[c]	0
ACETYLORNDEACET-MONOMER[c]	0
ACETYLORNTRANSAM-MONOMER[c]	0
ACNEULY-MONOMER[c]	1
ACONITASE-MONOMER[c]	0
ACONITATEDEHYDRB-MONOMER[c]	0
ACPSUB-MONOMER[c]	1
ACRB-MONOMER[i]	3
ACRD-MONOMER[i]	1
ACRF-MONOMER[i]	0
ACS-MONOMER[c]	253
ACSERLYA-MONOMER[c]	1
ACSERLYB-MONOMER[c]	1
ACYLCOADEHYDROG-MONOMER[i]	16
ACYLCOASYN-MONOMER[i]	1
ADCLY-MONOMER[c]	1
ADENODEAMIN-MONOMER[c]	226
ADENPRIBOSYLTRAN-MONOMER[c]	1
ADENYL-KIN-MONOMER[c]	5922
ADENYLATECYC-MONOMER[c]	3
