MolName	MolCounts
1-PFK[c]	33
1-PFK-MONOMER[c]	0
2OXOGLUTARATEDEH-CPLX[i]	89
E1O[c]	0
E2O[c]	58
E3-CPLX[i]	1940
3-ISOPROPYLMALDEHYDROG-CPLX[c]	1112
3-ISOPROPYLMALDEHYDROG-MONOMER[c]	0
3-ISOPROPYLMALISOM-CPLX[c]	2808
LEUC-MONOMER[c]	0
LEUD-MONOMER[c]	1511
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX[c]	181
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	5
3-OXOACYL-ACP-SYNTHII-CPLX[c]	515
3-OXOACYL-ACP-SYNTHII-MONOMER[c]	0
6PFK-1-CPX[c]	554
6PFK-1-MONOMER[c]	3
6PFK-2-CPX[c]	62
6PFK-2-MONOMER[c]	1
6PGLUCONDEHYDROG-CPLX[c]	2159
6PGLUCONDEHYDROG-MONOMER[c]	1
7-ALPHA-HYDROXYSTEROID-DEH-CPLX[c]	103
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	3
7KAPSYN-CPLX[c]	50
7KAPSYN-MONOMER[c]	0
ABC-10-CPLX[i]	0
FEPC-MONOMER[i]	10
FEPD-MONOMER[i]	12
FEPG-MONOMER[i]	0
FEPB-MONOMER[i]	605
ABC-11-CPLX[i]	0
FHUC-MONOMER[i]	60
FHUB-MONOMER[i]	1
FHUD-MONOMER[p]	84
ABC-12-CPLX[i]	120
GLNQ-MONOMER[i]	264
GLNP-MONOMER[i]	1
GLNH-MONOMER[p]	2354
ABC-13-CPLX[i]	60
G6359-MONOMER[p]	1708
GLTK-MONOMER[i]	0
GLTJ-MONOMER[i]	4
GLTL-MONOMER[i]	234
ABC-14-CPLX[i]	27
HISP-MONOMER[i]	78
HISM-MONOMER[i]	0
HISQ-MONOMER[i]	24
HISJ-MONOMER[p]	3311
ABC-15-CPLX[i]	102
LIVF-MONOMER[i]	445
LIVG-MONOMER[i]	346
LIVH-MONOMER[i]	0
LIVM-MONOMER[i]	25
LIVJ-MONOMER[p]	8870
ABC-16-CPLX[i]	9
MALK-MONOMER[i]	35
MALF-MONOMER[i]	0
MALG-MONOMER[i]	16
MALE-MONOMER[i]	526
ABC-18-CPLX[i]	13
MGLA-MONOMER[i]	0
MGLC-MONOMER[i]	20
MGLB-MONOMER[p]	146
ABC-19-CPLX[i]	18
MODC-MONOMER[i]	0
MODB-MONOMER[i]	27
MODA-MONOMER[p]	1177
ABC-2-CPLX[i]	12
ARAG-MONOMER[i]	22
ARAH-MONOMER[i]	31
ARAF-MONOMER[i]	0
ABC-20-CPLX[i]	2
NIKD-MONOMER[i]	3
NIKE-MONOMER[i]	3
NIKB-MONOMER[i]	2
NIKC-MONOMER[i]	0
NIKA-MONOMER[i]	5
ABC-21-CPLX[i]	98
YADG-MONOMER[i]	130
YADH-MONOMER[i]	0
ABC-22-CPLX[i]	260
OPPC-MONOMER[i]	0
OPPD-MONOMER[i]	244
OPPF-MONOMER[i]	448
OPPB-MONOMER[i]	50
OPPA-MONOMER[i]	16102
ABC-23-CPLX[i]	1
PHNC-MONOMER[i]	1
PHNE-MONOMER[c]	3
PHND-MONOMER[i]	5
ABC-24-CPLX[i]	39
POTA-MONOMER[i]	179
POTB-MONOMER[i]	0
POTC-MONOMER[i]	40
POTD-MONOMER[p]	1770
ABC-25-CPLX[i]	37
POTG-MONOMER[i]	1
POTH-MONOMER[i]	11
POTI-MONOMER[i]	27
POTF-MONOMER[i]	344
ABC-26-CPLX[i]	43
PROV-MONOMER[i]	57
PROW-MONOMER[i]	1
PROX-MONOMER[p]	407
ABC-27-CPLX[i]	39
PSTB-MONOMER[i]	252
PSTA-MONOMER[i]	2
PSTC-MONOMER[i]	0
PSTS-MONOMER[i]	110
ABC-28-CPLX[i]	11
RBSA-MONOMER[i]	0
RBSC-MONOMER[i]	5
RBSB-MONOMER[i]	180
ABC-29-CPLX[i]	18
SAPF-MONOMER[i]	68
SAPD-MONOMER[i]	45
SAPB-MONOMER[i]	19
SAPC-MONOMER[i]	0
SAPA-MONOMER[i]	87
ABC-3-CPLX[i]	28
ARGT-MONOMER[p]	740
ABC-304-CPLX[i]	101
LIVK-MONOMER[p]	2324
ABC-32-CPLX[i]	3
SFUC-MONOMER[i]	37
