MolName	MolTotalCounts	MolRequestedCounts
EG10035_RNA__PHOSPHO-ARCA	0	0
EG10153_RNA__PHOSPHO-ARCA	0	0
EG10154_RNA__PHOSPHO-ARCA	0	0
EG10173_RNA__PHOSPHO-ARCA	0	0
EG10174_RNA__PHOSPHO-ARCA	0	0
EG10278_RNA__PHOSPHO-ARCA	0	0
EG10279_RNA__PHOSPHO-ARCA	0	0
EG10280_RNA__PHOSPHO-ARCA	0	0
EG10489_RNA__PHOSPHO-ARCA	0	0
EG10510_RNA__PHOSPHO-ARCA	0	0
EG10543_RNA__PHOSPHO-ARCA	0	0
EG10701_RNA__PHOSPHO-ARCA	0	0
EG10787_RNA__PHOSPHO-ARCA	0	0
EG10931_RNA__PHOSPHO-ARCA	0	0
EG10932_RNA__PHOSPHO-ARCA	0	0
EG10933_RNA__PHOSPHO-ARCA	0	0
EG10934_RNA__PHOSPHO-ARCA	0	0
EG10976_RNA__PHOSPHO-ARCA	0	0
EG10979_RNA__PHOSPHO-ARCA	0	0
EG10980_RNA__PHOSPHO-ARCA	0	0
EG10981_RNA__PHOSPHO-ARCA	0	0
EG10982_RNA__PHOSPHO-ARCA	0	0
EG11061_RNA__PHOSPHO-ARCA	0	0
EG11258_RNA__PHOSPHO-ARCA	0	0
EG11530_RNA__PHOSPHO-ARCA	0	0
EG11773_RNA__PHOSPHO-ARCA	0	0
EG11774_RNA__PHOSPHO-ARCA	0	0
EG11961_RNA__PHOSPHO-ARCA	0	0
EG11962_RNA__PHOSPHO-ARCA	0	0
EG11963_RNA__PHOSPHO-ARCA	0	0
EG12082_RNA__PHOSPHO-ARCA	0	0
EG12083_RNA__PHOSPHO-ARCA	0	0
EG12084_RNA__PHOSPHO-ARCA	0	0
EG12086_RNA__PHOSPHO-ARCA	0	0
EG12087_RNA__PHOSPHO-ARCA	0	0
EG12088_RNA__PHOSPHO-ARCA	0	0
EG12089_RNA__PHOSPHO-ARCA	0	0
EG12090_RNA__PHOSPHO-ARCA	0	0
EG12091_RNA__PHOSPHO-ARCA	0	0
EG12092_RNA__PHOSPHO-ARCA	0	0
EG12093_RNA__PHOSPHO-ARCA	0	0
EG20080_RNA__PHOSPHO-ARCA	0	0
G0-8601_RNA__PHOSPHO-ARCA	0	0
G6105_RNA__PHOSPHO-ARCA	0	0
G7212_RNA__PHOSPHO-ARCA	0	0
G7213_RNA__PHOSPHO-ARCA	0	0
G7542_RNA__PHOSPHO-ARCA	0	0
G7543_RNA__PHOSPHO-ARCA	0	0
G7545_RNA__PHOSPHO-ARCA	0	0
