(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
TRANS-CPLX-203	TRANS-CPLX-203		TRANS-RXN0-235	TRANS-RXN0-235
KDGT-MONOMER	KDGT-MONOMER	GO:0005351 // GO:0015293 // GO:0015649	TRANS-RXN-113	TRANS-RXN-113
B1791-MONOMER	B1791-MONOMER	GO:0022857	TRANS-RXN0-596 // TRANS-RXN-273	TRANS-RXN0-596 // TRANS-RXN-273
HRSA-MONOMER	HRSA-MONOMER	GO:0022877 // GO:0016740 // GO:0016301 // GO:0008982 // GO:0005515 // GO:0005351 // GO:0090563 // GO:0090581	RXN0-2522	RXN0-2522
MHPT-MONOMER	MHPT-MONOMER	GO:0022857 // GO:0015293 // GO:0015540	TRANS-RXN0-457 // TRANS-RXN-61	TRANS-RXN0-457 // TRANS-RXN-61
GABP-MONOMER	GABP-MONOMER	GO:0015291 // GO:0015185	TRANS-RXN-57 // TRANS-RXN-384	TRANS-RXN-57 // TRANS-RXN-384
ABC-57-CPLX	ABC-57-CPLX		TRANS-RXN-366	TRANS-RXN-366
TRANS-200-CPLX	TRANS-200-CPLX		TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378	TRANS-RXN0-224 // TRANS-RXN-377 // TRANS-RXN-378
CPLX0-7955	CPLX0-7955		RXN0-1981 // RXN0-5111 // TRANS-RXN0-576	RXN0-1981 // RXN0-5111 // TRANS-RXN0-576
EG11512-MONOMER	EG11512-MONOMER	GO:0015293 // GO:0015360	TRANS-RXN0-571 // TRANS-RXN-121	TRANS-RXN0-571 // TRANS-RXN-121
EG11691-MONOMER	EG11691-MONOMER	GO:0015205 // GO:0005345 // GO:0022857 // GO:0015207	TRANS-RXN0-577	TRANS-RXN0-577
EG11724-MONOMER	EG11724-MONOMER	GO:0015205 // GO:0005345 // GO:0022857 // GO:0015207 // GO:0015295	TRANS-RXN0-447	TRANS-RXN0-447
YCHM-MONOMER	YCHM-MONOMER	GO:0015116 // GO:0008271 // GO:0015183 // GO:0015141 // GO:0015138	TRANS-RXN-121 // TRANS-RXN-122A // TRANS-RXN0-553	TRANS-RXN-121 // TRANS-RXN-122A // TRANS-RXN0-553
ABC-56-CPLX	ABC-56-CPLX		ABC-56-RXN	ABC-56-RXN
KGTP-MONOMER	KGTP-MONOMER	GO:0022857 // GO:0015293 // GO:0015294	TRANS-RXN-23	TRANS-RXN-23
EG12713-MONOMER	EG12713-MONOMER	GO:0015173 // GO:0015171	TRANS-RXN0-486 // RXN0-1923 // TRANS-RXN0-417 // TRANS-RXN0-495 // TRANS-RXN0-269 // TRANS-RXN0-512 // RXN0-1924 // TRANS-RXN0-480 // TRANS-RXN0-569 // RXN66-448 // TRANS-RXN0-537 // TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267 // TRANS-RXN0-265	TRANS-RXN0-486 // RXN0-1923 // TRANS-RXN0-417 // TRANS-RXN0-495 // TRANS-RXN0-269 // TRANS-RXN0-512 // RXN0-1924 // TRANS-RXN0-480 // TRANS-RXN0-569 // RXN66-448 // TRANS-RXN0-537 // TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267 // TRANS-RXN0-265
CPLX0-7532	CPLX0-7532		RXN-9615	RXN-9615
DCUB-MONOMER	DCUB-MONOMER	GO:0005515 // GO:0005469 // GO:0015556	TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299 // TRANS-RXN0-499	TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299 // TRANS-RXN0-499
DCUC-MONOMER	DCUC-MONOMER	GO:0015556 // GO:0005469	TRANS-RXN-300 // TRANS-RXN-106 // TRANS-RXN-299	TRANS-RXN-300 // TRANS-RXN-106 // TRANS-RXN-299
ABC-2-CPLX	ABC-2-CPLX	GO:0015147	ABC-2-RXN	ABC-2-RXN
ARAE-MONOMER	ARAE-MONOMER	GO:0022857 // GO:0015147 // GO:0015150 // GO:0015293	TRANS-RXN-10	TRANS-RXN-10
CPLX0-7535	CPLX0-7535		RXN0-2162	RXN0-2162
AROP-MONOMER	AROP-MONOMER	GO:0015192 // GO:0015196 // GO:0005302	TRANS-RXN-76 // TRANS-RXN-77 // TRANS-RXN-56	TRANS-RXN-76 // TRANS-RXN-77 // TRANS-RXN-56
CPLX0-4	CPLX0-4		TRANS-RXN0-233	TRANS-RXN0-233
CPLX-7	CPLX-7		RXN3O-9786 // RXN-22385	RXN3O-9786 // RXN-22385
ATPSYN-CPLX	ATPSYN-CPLX		ATPSYN-RXN // RXN0-7041	ATPSYN-RXN // RXN0-7041
CPLX0-7704	CPLX0-7704		TRANS-RXN-236	TRANS-RXN-236
G6859-MONOMER	G6859-MONOMER	GO:0015562	TRANS-RXN0-453	TRANS-RXN0-453
ABC-58-CPLX	ABC-58-CPLX		TRANS-RXN0-454	TRANS-RXN0-454
CPLX-153	CPLX-153		TRANS-RXN-155 // TRANS-RXN-153A // TRANS-RXN-153	TRANS-RXN-155 // TRANS-RXN-153A // TRANS-RXN-153
CPLX-154	CPLX-154		TRANS-RXN0-518 // TRANS-RXN-153 // TRANS-RXN-153A // TRANS-RXN-157	TRANS-RXN0-518 // TRANS-RXN-153 // TRANS-RXN-153A // TRANS-RXN-157
EG11471-MONOMER	EG11471-MONOMER	GO:0015225	TRANS-RXN0-240	TRANS-RXN0-240
ABC-15-CPLX	ABC-15-CPLX		ABC-35-RXN // ABC-36-RXN // ABC-15-RXN // TRANS-RXN-312	ABC-35-RXN // ABC-36-RXN // ABC-15-RXN // TRANS-RXN-312
BRNQ-MONOMER	BRNQ-MONOMER	GO:0005515 // GO:0015658 // GO:0015190 // GO:0015188 // GO:0005304	TRANS-RXN-126B // TRANS-RXN-126A // TRANS-RXN-126	TRANS-RXN-126B // TRANS-RXN-126A // TRANS-RXN-126
DCTA-MONOMER	DCTA-MONOMER	GO:0022857 // GO:0015293 // GO:0005515 // GO:0015366 // GO:0015141 // GO:0015138 // GO:0015183	TRANS-RXN-300 // TRANS-RXN-299 // TRANS-RXN0-517 // TRANS-RXN0-451 // TRANS-RXN-122A // TRANS-RXN-121C // TRANS-RXN0-553 // TRANS-RXN-121A // TRANS-RXN-121	TRANS-RXN-300 // TRANS-RXN-299 // TRANS-RXN0-517 // TRANS-RXN0-451 // TRANS-RXN-122A // TRANS-RXN-121C // TRANS-RXN0-553 // TRANS-RXN-121A // TRANS-RXN-121
DCUA-MONOMER	DCUA-MONOMER	GO:0005469 // GO:0015556	TRANS-RXN-379 // TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299	TRANS-RXN-379 // TRANS-RXN-106 // TRANS-RXN-106B // TRANS-RXN-106A // TRANS-RXN-299
ABC-35-CPLX	ABC-35-CPLX		RXN-21407	RXN-21407
G6370-MONOMER	G6370-MONOMER	GO:0015288 // GO:0015267	TRANS-RXN-481	TRANS-RXN-481
CPLX0-7961	CPLX0-7961		RXN0-2501	RXN0-2501
BETT-MONOMER	BETT-MONOMER	GO:0022857 // GO:0015220	TRANS-RXN-99	TRANS-RXN-99
B0612-MONOMER	B0612-MONOMER	GO:0022857 // GO:0015297	TRANS-RXN0-201	TRANS-RXN0-201
CPLX0-1924	CPLX0-1924		RXN0-1565 // TRANS-RXN0-283	RXN0-1565 // TRANS-RXN0-283
G7097-MONOMER	G7097-MONOMER		RXN-22217	RXN-22217
CPLX0-1721	CPLX0-1721		TRANS-RXN0-280 // TRANS-RXN-90	TRANS-RXN0-280 // TRANS-RXN-90
B0260-MONOMER	B0260-MONOMER	GO:0015171 // GO:0000100	TRANS-RXN0-486	TRANS-RXN0-486
ABC-23-CPLX	ABC-23-CPLX		ABC-23-RXN // TRANS-RXN-238	ABC-23-RXN // TRANS-RXN-238
G6260-MONOMER	G6260-MONOMER	GO:0140581 // GO:0043682 // GO:0019829 // GO:0046872 // GO:0005524 // GO:0000166 // GO:0015080 // GO:0015662	RXN-14455	RXN-14455
CPLX-3945	CPLX-3945		RXN-5068	RXN-5068
CYNX-MONOMER	CYNX-MONOMER	GO:0022857	TRANS-RXN-14	TRANS-RXN-14
EG11639-MONOMER	EG11639-MONOMER	GO:0015562	RXN0-1924 // RXN0-1923	RXN0-1924 // RXN0-1923
EG12445-MONOMER	EG12445-MONOMER	GO:0015171 // GO:0015562	RXN0-1924 // RXN0-1923	RXN0-1924 // RXN0-1923
CPLX0-8152	CPLX0-8152		TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617	TRANS-RXN0-593 // TRANS-RXN-291 // TRANS-RXN0-508 // TRANS-RXN0-513 // TRANS-RXN-290 // TRANS-RXN0-617
EG11902-MONOMER	EG11902-MONOMER	GO:0000099 // GO:0022857	TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267	TRANS-RXN0-507 // TRANS-RXN0-514 // TRANS-RXN-267
G6934-MONOMER	G6934-MONOMER	GO:0022857 // GO:0015293 // GO:0000099 // GO:0005416 // GO:0015184	TRANS-RXN-285 // TRANS-RXN-330 // TRANS-RXN0-616 // TRANS-RXN-286	TRANS-RXN-285 // TRANS-RXN-330 // TRANS-RXN0-616 // TRANS-RXN-286
CYT-D-UBIOX-CPLX	CYT-D-UBIOX-CPLX		RXN0-5266 // RXN-19778 // RXN-19777	RXN0-5266 // RXN-19778 // RXN-19777
APP-UBIOX-CPLX	APP-UBIOX-CPLX		RXN0-5266	RXN0-5266
CYT-O-UBIOX-CPLX	CYT-O-UBIOX-CPLX	GO:0005507 // GO:0020037 // GO:0015078 // GO:0009055 // GO:0009486 // GO:0015453	RXN-21817	RXN-21817
CODB-MONOMER	CODB-MONOMER	GO:0022857 // GO:0015209 // GO:0015295	TRANS-RXN-116	TRANS-RXN-116
