MolName	MolTotalCounts	MolRequestedCounts
1-PFK[c]	33	0
1-PFK-MONOMER[c]	0	0
2OXOGLUTARATEDEH-CPLX[i]	89	0
E1O[c]	0	0
E2O[c]	58	0
E3-CPLX[i]	1940	0
3-ISOPROPYLMALDEHYDROG-CPLX[c]	1112	0
3-ISOPROPYLMALDEHYDROG-MONOMER[c]	0	0
3-ISOPROPYLMALISOM-CPLX[c]	2808	0
LEUC-MONOMER[c]	0	0
LEUD-MONOMER[c]	1511	0
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX[c]	181	0
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER[c]	5	0
3-OXOACYL-ACP-SYNTHII-CPLX[c]	515	0
3-OXOACYL-ACP-SYNTHII-MONOMER[c]	0	0
6PFK-1-CPX[c]	554	0
6PFK-1-MONOMER[c]	3	0
6PFK-2-CPX[c]	62	0
6PFK-2-MONOMER[c]	1	0
6PGLUCONDEHYDROG-CPLX[c]	2159	0
6PGLUCONDEHYDROG-MONOMER[c]	1	0
7-ALPHA-HYDROXYSTEROID-DEH-CPLX[c]	103	0
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER[c]	3	0
7KAPSYN-CPLX[c]	50	0
7KAPSYN-MONOMER[c]	0	0
ABC-10-CPLX[i]	0	0
FEPC-MONOMER[i]	10	0
FEPD-MONOMER[i]	12	0
FEPG-MONOMER[i]	0	0
FEPB-MONOMER[i]	605	0
ABC-11-CPLX[i]	0	0
FHUC-MONOMER[i]	60	0
FHUB-MONOMER[i]	1	0
FHUD-MONOMER[p]	84	0
ABC-12-CPLX[i]	120	0
GLNQ-MONOMER[i]	264	0
GLNP-MONOMER[i]	1	0
GLNH-MONOMER[p]	2354	0
ABC-13-CPLX[i]	60	0
G6359-MONOMER[p]	1708	0
GLTK-MONOMER[i]	0	0
GLTJ-MONOMER[i]	4	0
GLTL-MONOMER[i]	234	0
ABC-14-CPLX[i]	27	0
HISP-MONOMER[i]	78	0
HISM-MONOMER[i]	0	0
HISQ-MONOMER[i]	24	0
HISJ-MONOMER[p]	3311	0
ABC-15-CPLX[i]	102	0
LIVF-MONOMER[i]	445	0
LIVG-MONOMER[i]	346	0
LIVH-MONOMER[i]	0	0
LIVM-MONOMER[i]	25	0
LIVJ-MONOMER[p]	8870	0
ABC-16-CPLX[i]	9	0
MALK-MONOMER[i]	35	0
MALF-MONOMER[i]	0	0
MALG-MONOMER[i]	16	0
MALE-MONOMER[i]	526	0
ABC-18-CPLX[i]	13	0
MGLA-MONOMER[i]	0	0
MGLC-MONOMER[i]	20	0
MGLB-MONOMER[p]	146	0
ABC-19-CPLX[i]	18	0
MODC-MONOMER[i]	0	0
MODB-MONOMER[i]	27	0
MODA-MONOMER[p]	1177	0
ABC-2-CPLX[i]	12	0
ARAG-MONOMER[i]	22	0
ARAH-MONOMER[i]	31	0
ARAF-MONOMER[i]	0	0
ABC-20-CPLX[i]	2	0
NIKD-MONOMER[i]	3	0
NIKE-MONOMER[i]	3	0
NIKB-MONOMER[i]	2	0
NIKC-MONOMER[i]	0	0
NIKA-MONOMER[i]	5	0
ABC-21-CPLX[i]	98	0
YADG-MONOMER[i]	130	0
YADH-MONOMER[i]	0	0
ABC-22-CPLX[i]	260	0
OPPC-MONOMER[i]	0	0
OPPD-MONOMER[i]	244	0
OPPF-MONOMER[i]	448	0
OPPB-MONOMER[i]	50	0
OPPA-MONOMER[i]	16102	0
ABC-23-CPLX[i]	1	0
PHNC-MONOMER[i]	1	0
PHNE-MONOMER[c]	3	0
PHND-MONOMER[i]	5	0
ABC-24-CPLX[i]	39	0
POTA-MONOMER[i]	179	0
POTB-MONOMER[i]	0	0
POTC-MONOMER[i]	40	0
POTD-MONOMER[p]	1770	0
ABC-25-CPLX[i]	37	0
POTG-MONOMER[i]	1	0
POTH-MONOMER[i]	11	0
POTI-MONOMER[i]	27	0
POTF-MONOMER[i]	344	0
ABC-26-CPLX[i]	43	0
PROV-MONOMER[i]	57	0
PROW-MONOMER[i]	1	0
PROX-MONOMER[p]	407	0
ABC-27-CPLX[i]	39	0
PSTB-MONOMER[i]	252	0
PSTA-MONOMER[i]	2	0
PSTC-MONOMER[i]	0	0
PSTS-MONOMER[i]	110	0
ABC-28-CPLX[i]	11	0
RBSA-MONOMER[i]	0	0
RBSC-MONOMER[i]	5	0
RBSB-MONOMER[i]	180	0
ABC-29-CPLX[i]	18	0
SAPF-MONOMER[i]	68	0
SAPD-MONOMER[i]	45	0
SAPB-MONOMER[i]	19	0
SAPC-MONOMER[i]	0	0
SAPA-MONOMER[i]	87	0
ABC-3-CPLX[i]	28	0
ARGT-MONOMER[p]	740	0
ABC-304-CPLX[i]	101	0
LIVK-MONOMER[p]	2324	0
ABC-32-CPLX[i]	3	0
SFUC-MONOMER[i]	37	0
SFUB-MONOMER[i]	1	0
SFUA-MONOMER[p]	296	0
ABC-33-CPLX[i]	6	0
XYLG-MONOMER[i]	20	0
XYLH-MONOMER[i]	2	0
XYLF-MONOMER[p]	0	0
ABC-34-CPLX[i]	17	0
UGPC-MONOMER[i]	1	0
UGPA-MONOMER[i]	6	0
UGPE-MONOMER[i]	11	0
UGPB-MONOMER[i]	166	0
ABC-35-CPLX[i]	11	0
EG12169-MONOMER[i]	0	0
CCMB-MONOMER[i]	4	0
CCMA-MONOMER[i]	24	0
CCME-MONOMER[i]	7	0
CCMC-MONOMER[i]	5	0
ABC-4-CPLX[i]	37	0
ARTJ-MONOMER[p]	3354	0
ARTQ-MONOMER[i]	1	0
ARTM-MONOMER[i]	0	0
ARTP-MONOMER[i]	166	0
ABC-40-CPLX[i]	30	0
YEHZ-MONOMER[i]	35	0
YEHY-MONOMER[i]	0	0
YEHX-MONOMER[i]	6	0
YEHW-MONOMER[i]	1	0
ABC-41-CPLX[i]	6	0
YEJF-MONOMER[i]	14	0
YEJB-MONOMER[i]	23	0
YEJE-MONOMER[i]	0	0
YEJA-MONOMER[i]	28	0
ABC-42-CPLX[i]	3	0
YJCW-MONOMER[i]	0	0
YJCV-MONOMER[i]	9	0
YJCX-MONOMER[i]	14	0
ABC-45-CPLX[i]	46	0
G7659-MONOMER[i]	774	0
YRBF-MONOMER[i]	86	0
YRBE-MONOMER[i]	0	0
EG12799-MONOMER[i]	176	0
G7658-MONOMER[i]	288	0
ABC-46-CPLX[i]	6	0
YJFF-MONOMER[i]	17	0
YTFR-MONOMER[i]	12	0
YTFT-MONOMER[i]	0	0
YTFQ-MONOMER[i]	41	0
ABC-48-CPLX[i]	13	0
YNJC-MONOMER[i]	0	0
YNJD-MONOMER[i]	29	0
ABC-49-CPLX[i]	16	0
YLIA-MONOMER[i]	69	0
YLIB-MONOMER[i]	157	0
YLID-MONOMER[i]	96	0
YLIC-MONOMER[i]	0	0
ABC-5-CPLX[i]	0	0
BTUD-MONOMER[i]	52	0
BTUC-MONOMER[i]	1	0
EG12334-MONOMER[p]	8	0
ABC-51-CPLX[i]	7	0
YDCS-MONOMER[p]	10	0
YDCT-MONOMER[i]	0	0
YDCV-MONOMER[i]	4	0
YDCU-MONOMER[i]	10	0
ABC-52-CPLX[i]	9	0
YHDZ-MONOMER[i]	10	0
YHDY-MONOMER[i]	0	0
YHDX-MONOMER[i]	10	0
YHDW-MONOMER[i]	15	0
ABC-53-CPLX[i]	0	0
G7889-MONOMER[i]	15	0
YHBG-MONOMER[i]	232	0
G7888-MONOMER[i]	0	0
ABC-54-CPLX[i]	50	0
FTSE-MONOMER[i]	1	0
FTSX-MONOMER[i]	34	0
ABC-55-CPLX[i]	0	0
YCJP-MONOMER[i]	2	0
YCJO-MONOMER[i]	0	0
YCJN-MONOMER[p]	5	0
ABC-56-CPLX[i]	2	0
G6478-MONOMER[i]	10	0
YCBM-MONOMER[i]	1	0
YCBE-MONOMER[i]	18	0
ABC-57-CPLX[i]	14	0
YBHS-MONOMER[i]	0	0
YBHR-MONOMER[i]	22	0
YBHF-MONOMER[i]	1	0
ABC-58-CPLX[i]	2	0
YNEA-MONOMER[i]	13	0
YDEZ-MONOMER[i]	4	0
YDEY-MONOMER[i]	1	0
YDEX-MONOMER[i]	1	0
ABC-59-CPLX[i]	7	0
YDDR-MONOMER[i]	0	0
YDDQ-MONOMER[i]	4	0
YDDS-MONOMER[i]	10	0
YDDP-MONOMER[i]	0	0
YDDO-MONOMER[i]	12	0
ABC-6-CPLX[i]	64	0
CYDD-MONOMER[i]	0	0
CYDC-MONOMER[i]	39	0
ABC-60-CPLX[i]	4	0
YPHD-MONOMER[i]	1	0
G7342-MONOMER[p]	0	0
YPHE-MONOMER[i]	4	0
ABC-61-CPLX[i]	12	0
YBBP-MONOMER[i]	0	0
YBBA-MONOMER[i]	57	0
ABC-62-CPLX[i]	64	0
YCFW-MONOMER[i]	0	0
YCFV-MONOMER[i]	62	0
YCFU-MONOMER[i]	30	0
ABC-63-CPLX[i]	29	0
ZNUC-MONOMER[i]	36	0
ZNUB-MONOMER[i]	0	0
ZNUA-MONOMER[p]	492	0
ABC-64-CPLX[i]	3	0
TAUA-MONOMER[p]	5	0
TAUC-MONOMER[i]	0	0
TAUB-MONOMER[i]	1	0
ABC-7-CPLX[i]	123	0
CYSA-MONOMER[i]	293	0
CYSW-MONOMER[i]	313	0
CYST-MONOMER[i]	0	0
CYSP-MONOMER[p]	552	0
ABC-70-CPLX[i]	137	0
SBP-MONOMER[p]	82	0
ABC-8-CPLX[i]	52	0
DPPD-MONOMER[i]	99	0
DPPF-MONOMER[i]	125	0
DPPB-MONOMER[i]	0	0
DPPC-MONOMER[i]	11	0
DPPA-MONOMER[i]	6823	0
ABC-9-CPLX[i]	28	0
FECE-MONOMER[i]	20	0
FECC-MONOMER[i]	33	0
FECD-MONOMER[i]	0	0
FECB-MONOMER[p]	150	0
ACETOACETYL-COA-TRANSFER-CPLX[c]	0	0
ATOA-CPLX[c]	0	0
ATOD-CPLX[c]	1	0
ACETOLACTSYNI-CPLX[c]	416	0
LARGEILVB-MONOMER[c]	1	0
SMALLILVN-MONOMER[c]	112	0
ACETOLACTSYNII-CPLX[c]	24	0
G8221-MONOMER[c]	979	0
LARGEILVG-MONOMER[c]	0	0
SMALLILVM-MONOMER[c]	158	0
ACETOLACTSYNIII-CPLX[c]	163	0
ACETOLACTSYNIII-ICHAIN-MONOMER[c]	1	0
ACETOLACTSYNIII-HCHAIN-MONOMER[c]	488	0
ACETYL-COA-ACETYLTRANSFER-CPLX[c]	81	0
ACETYL-COA-ACETYLTRANSFER-MONOMER[c]	2	0
ACETYL-COA-CARBOXYLTRANSFER-CPLX[c]	555	0
CARBOXYL-TRANSFERASE-ALPHA-MONOMER[c]	0	0
CARBOXYL-TRANSFERASE-BETA-MONOMER[c]	612	0
ACETYLGLUTKIN-CPLX[c]	187	0
ACETYLGLUTKIN-MONOMER[c]	0	0
ACETYLORNDEACET-CPLX[c]	271	0
ACETYLORNDEACET-MONOMER[c]	0	0
ACETYLORNTRANSAM-CPLX[c]	200	0
ACETYLORNTRANSAM-MONOMER[c]	0	0
ACNEULY-CPLX[c]	22	0
ACNEULY-MONOMER[c]	1	0
ACPSUB-CPLX[c]	0	0
ACPSUB-MONOMER[c]	1	0
ACSERLYA-CPLX[c]	6596	0
ACSERLYA-MONOMER[c]	1	0
ACSERLYB-CPLX[c]	430	0
ACSERLYB-MONOMER[c]	1	0
ACYLCOASYN-CPLX[i]	0	0
ACYLCOASYN-MONOMER[i]	1	0
ADCLY-CPLX[c]	0	0
ADCLY-MONOMER[c]	1	0
ADENPRIBOSYLTRAN-CPLX[c]	967	0
ADENPRIBOSYLTRAN-MONOMER[c]	1	0
ADENYLOSUCCINATE-SYN-DIMER[c]	2034	0
ADENYLOSUCCINATE-SYN-MONOMER[c]	1	0
ADENYLYLSULFKIN-CPLX[c]	145	0
ADENYLYLSULFKIN-MONOMER[c]	1	0
ADHC-CPLX[c]	155	0
ADHC-MONOMER[c]	0	0
ADHE-CPLX[c]	100	0
ADHE-MONOMER[c]	7	0
AERGLYC3PDEHYDROG-CPLX[i]	2477	0
AERGLYC3PDEHYDROG-MONOMER[i]	1	0
AGMATIN-CPLX[c]	242	0
AGMATIN-MONOMER[c]	0	0
AIRS-CPLX[c]	755	0
AIRS-MONOMER[c]	0	0
AKBLIG-CPLX[c]	29	0
AKBLIG-MONOMER[c]	1	0
ALAS-CPLX[c]	683	0
ALAS-MONOMER[c]	0	0
ALD-CPLX[c]	201	0
LACTALDDEHYDROG-MONOMER[c]	3	0
ALKAPHOSPHA-CPLX[p]	20	0
ALKAPHOSPHA-MONOMER[p]	0	0
ALPHA-SUBUNIT-CPLX[i]	0	0
FDNI-MONOMER[i]	8	0
FDNH-MONOMER[i]	8	0
FDNG-MONOMER[p]	0	0
ALPHAGALACTOSID-CPLX[c]	9	0
ALPHAGALACTOSID-MONOMER[c]	0	0
AMINEOXID-CPLX[p]	5	0
AMINEOXID-MONOMER[p]	1	0
AMP-NUCLEOSID-CPLX[c]	215	0
AMP-NUCLEOSID-MONOMER[c]	2	0
ANGLYC3PDEHYDROG-CPLX[i]	81	0
ANGLYC3PDEHYDROGSUBUNITA-MONOMER[i]	0	0
