MolName	MolCounts
CPLX-125[c]	0
TRP[c]	8780
PC00007[c]	121
CPLX-128[c]	0
PC00061[c]	75
FRUCTOSE-16-DIPHOSPHATE[c]	10975369
CPLX-172[c]	0
PC00003[c]	16
ARABINOSE[c]	0
CPLX0-228[c]	0
PC00005[c]	122
ARG[c]	417064
CPLX0-7541[c]	0
ALAS-MONOMER[c]	0
L-ALPHA-ALANINE[c]	1902397
CPLX0-7671[c]	0
CPLX0-7669[c]	252
CPLX0-7735[c]	0
CPLX0-7733[c]	60
ASN[c]	373162
CPLX0-7752[c]	0
CPLX0-7759[c]	67
HOMO-CYS[c]	270725
CPLX0-8051[c]	0
CPLX0-7740[c]	31
CYTIDINE[c]	1902
CPLX0-8076[c]	0
PD00194[c]	3
MONOMER-2720[c]	0
G7071-MONOMER[c]	124
APS[c]	4829
MONOMER-51-ACETOACETYL-COA[c]	0
PD01520[c]	449
ACETOACETYL-COA[c]	16097
MONOMER-54[c]	0
PD03576[c]	107
GLYCEROL-3P[c]	35852
MONOMER-55[c]	0
PD03585[c]	144
GLUCONATE[c]	30731
MONOMER-57[c]	0
PD04099[c]	127
PHOSPHO-ENOL-PYRUVATE[c]	131704
MONOMER0-155[c]	0
PD00353[c]	2948
LEU[c]	140484
CPLX0-7796[c]	0
CPLX0-7796APO[c]	511
S-ADENOSYLMETHIONINE[c]	131704
MONOMER0-160[c]	0
PD03831[c]	113
ATP[c]	7024236
MONOMER0-162[c]	0
PD00413[c]	289
TYR[c]	21219
PUTA-CPLXBND[c]	0
PUTA-CPLX[c]	19
PRO[c]	285359
FNR-4FE-4S-CPLX[c]	0
CPLX0-7797[c]	981
4FE-4S[c]	0
ARCB-OXYGEN-CPLX[i]	0
ARCB-CPLX[i]	40
OXYGEN-MOLECULE[p]	73169
BAES-INDOLE-CPLX[i]	0
BAES-MONOMER[i]	21
INDOLE[p]	0
BASS-FE+3-CPLX[i]	0
BASS-MONOMER[i]	48
FE+3[p]	0
DCUS-SUC-CPLX[i]	0
DCUS-MONOMER[i]	14
SUC[p]	0
NARX-NITRATE-CPLX[i]	0
NARX-CPLX[i]	11
NITRATE[p]	0
PHOQ-CA+2-CPLX[i]	0
CPLX0-8168[i]	26
CA+2[p]	73169
PHOR-Pi-CPLX[i]	0
PHOR-CPLX[i]	4
PI[p]	73169
