MolName	MolTotalCounts	MolRequestedCounts
EG10007_RNA__CPLX0-228	0	0
EG10063_RNA__CPLX0-228	0	0
EG10064_RNA__CPLX0-228	0	0
EG10065_RNA__CPLX0-228	0	0
EG10066_RNA__CPLX0-228	0	0
EG10067_RNA__CPLX0-228	0	0
EG10068_RNA__CPLX0-228	0	0
EG10069_RNA__CPLX0-228	0	0
EG10134_RNA__CPLX0-228	0	0
EG10135_RNA__CPLX0-228	0	0
EG10452_RNA__CPLX0-228	0	0
EG11223_RNA__CPLX0-228	0	0
EG11286_RNA__CPLX0-228	0	0
EG11624_RNA__CPLX0-228	0	0
EG11625_RNA__CPLX0-228	0	0
EG11626_RNA__CPLX0-228	0	0
EG11627_RNA__CPLX0-228	0	0
EG11628_RNA__CPLX0-228	0	0
EG12124_RNA__CPLX0-228	0	0
EG12125_RNA__CPLX0-228	0	0
G6940_RNA__CPLX0-228	0	0
G6942_RNA__CPLX0-228	0	0
