MolName	MolTotalCounts	MolRequestedCounts
EG10496_RNA__MONOMER0-155	0	0
EG10497_RNA__MONOMER0-155	0	0
EG10499_RNA__MONOMER0-155	0	0
EG10500_RNA__MONOMER0-155	0	0
EG10501_RNA__MONOMER0-155	0	0
EG10512_RNA__MONOMER0-155	0	0
EG10539_RNA__MONOMER0-155	0	0
EG10674_RNA__MONOMER0-155	0	0
EG10675_RNA__MONOMER0-155	0	0
EG10676_RNA__MONOMER0-155	0	0
EG10680_RNA__MONOMER0-155	0	0
EG10944_RNA__MONOMER0-155	0	0
EG10993_RNA__MONOMER0-155	0	0
EG11391_RNA__MONOMER0-155	0	0
EG11811_RNA__MONOMER0-155	0	0
G8221_RNA__MONOMER0-155	0	0
