SimStep	Vol	Pseudo	total	Fast	act	Slow	inhib	input	output
0.0	1.0	6.022141e+23	6.022141e+17	0.0	1.023764e+21	0.0	6.022141e+19	3.011071e+20	0.0
0.008	1.0	6.022141e+23	1.6861992879999955e+17	4.095056068000004e+17	1.0233544943932e+21	2.4088564400000012e+16	6.01973214356e+19	3.011071e+20	0.0
0.016	1.0	6.022141e+23	4.8085630843045203e+17	1.1461569222449837e+17	1.0236493843077755e+21	6742099345049574.0	6.021466790065495e+19	3.011071e+20	0.0
0.024	1.0	6.022141e+23	2.560363033394027e+17	3.2694569737838054e+17	1.0234370543026217e+21	1.9232099282216776e+16	6.0202177900717785e+19	3.011071e+20	0.0
0.032	1.0	6.022141e+23	4.179268255744603e+17	1.7404909279635805e+17	1.0235899509072037e+21	1.0238181629181652e+16	6.021117181837082e+19	3.011071e+20	0.0
0.04	1.0	6.022141e+23	3.0135792921546355e+17	2.8414193953686157e+17	1.0234798580604632e+21	1.6714231247674808e+16	6.0204695768752325e+19	3.011071e+20	0.0
0.048	1.0	6.022141e+23	3.8529660272606144e+17	2.0486652553668262e+17	1.0235591334744634e+21	1.2050971737255884e+16	6.020935902826274e+19	3.011071e+20	0.0
0.056	1.0	6.022141e+23	3.248560472830034e+17	2.6194927243694477e+17	1.0235020507275631e+21	1.5408780280051798e+16	6.020600121971995e+19	3.011071e+20	0.0
0.064	1.0	6.022141e+23	3.683775823825805e+17	2.2084560033153936e+17	1.0235431543996685e+21	1.299091728588011e+16	6.020841908271412e+19	3.011071e+20	0.0
0.072	1.0	6.022141e+23	3.3703944455960154e+17	2.5044273054586963e+17	1.0235135572694541e+21	1.4731924894528756e+16	6.020667807510547e+19	3.011071e+20	0.0
0.08	1.0	6.022141e+23	3.596050529891397e+17	2.2913076699438816e+17	1.0235348692330056e+21	1.3478280016472074e+16	6.020793171998352e+19	3.011071e+20	0.0
