Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A5A616	reviewed	MGTS_ECOLI	Small protein MgtS	mgtS yneM b4599 JW1527.1	Escherichia coli (strain K12)	31
B1X6B7	reviewed	HCHA_ECODH	Protein/nucleic acid deglycase HchA, EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124 (Maillard deglycase)	hchA ECDH10B_2110	Escherichia coli (strain K12 / DH10B)	283
B1XAK8	reviewed	FADB_ECODH	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase, EC 4.2.1.17, EC 5.1.2.3, EC 5.3.3.8; 3-hydroxyacyl-CoA dehydrogenase, EC 1.1.1.35 ]	fadB ECDH10B_4035	Escherichia coli (strain K12 / DH10B)	729
C4ZQN7	reviewed	HCHA_ECOBW	Protein/nucleic acid deglycase HchA, EC 3.1.2.-, EC 3.5.1.-, EC 3.5.1.124 (Maillard deglycase)	hchA BWG_1768	Escherichia coli (strain K12 / MC4100 / BW2952)	283
C5A020	reviewed	FADB_ECOBW	Fatty acid oxidation complex subunit alpha [Includes: Enoyl-CoA hydratase/Delta(3)-cis-Delta(2)-trans-enoyl-CoA isomerase/3-hydroxybutyryl-CoA epimerase, EC 4.2.1.17, EC 5.1.2.3, EC 5.3.3.8; 3-hydroxyacyl-CoA dehydrogenase, EC 1.1.1.35 ]	fadB BWG_3522	Escherichia coli (strain K12 / MC4100 / BW2952)	729
O32583	reviewed	THIS_ECOLI	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	thiS thiG1 b4407 JW3955	Escherichia coli (strain K12)	66
P00350	reviewed	6PGD_ECOLI	6-phosphogluconate dehydrogenase, decarboxylating, EC 1.1.1.44	gnd b2029 JW2011	Escherichia coli (strain K12)	468
P00363	reviewed	FRDA_ECOLI	Fumarate reductase flavoprotein subunit, EC 1.3.5.4 (Quinol-fumarate reductase flavoprotein subunit, QFR flavoprotein subunit)	frdA b4154 JW4115	Escherichia coli (strain K12)	602
P00370	reviewed	DHE4_ECOLI	NADP-specific glutamate dehydrogenase, NADP-GDH, EC 1.4.1.4	gdhA b1761 JW1750	Escherichia coli (strain K12)	447
P00393	reviewed	NDH_ECOLI	Type II NADH:quinone oxidoreductase, EC 1.6.5.9 (Cupric reductase, EC 1.16.1.-) (NADH dehydrogenase-2, NADH dh II, NDH-2) (NADH-quinone reductase, NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	ndh b1109 JW1095	Escherichia coli (strain K12)	434
P00448	reviewed	SODM_ECOLI	Superoxide dismutase [Mn], EC 1.15.1.1 (MnSOD)	sodA b3908 JW3879	Escherichia coli (strain K12)	206
P00452	reviewed	RIR1_ECOLI	Ribonucleoside-diphosphate reductase 1 subunit alpha, EC 1.17.4.1 (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	nrdA dnaF b2234 JW2228	Escherichia coli (strain K12)	761
P00490	reviewed	PHSM_ECOLI	Maltodextrin phosphorylase, EC 2.4.1.1	malP b3417 JW5689	Escherichia coli (strain K12)	797
P00509	reviewed	AAT_ECOLI	Aspartate aminotransferase, AspAT, EC 2.6.1.1 (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396
P00550	reviewed	PTM3C_ECOLI	PTS system mannitol-specific EIICBA component (EIICBA-Mtl, EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component, EC 2.7.1.197 (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component) ]	mtlA b3599 JW3573	Escherichia coli (strain K12)	637
P00561	reviewed	AK1H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I, AKI-HDI) [Includes: Aspartokinase, EC 2.7.2.4; Homoserine dehydrogenase, EC 1.1.1.3 ]	thrA thrA1 thrA2 b0002 JW0001	Escherichia coli (strain K12)	820
P00562	reviewed	AK2H_ECOLI	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II, AKII-HDII) [Includes: Aspartokinase, EC 2.7.2.4; Homoserine dehydrogenase, EC 1.1.1.3 ]	metL metM b3940 JW3911	Escherichia coli (strain K12)	810
P00579	reviewed	RPOD_ECOLI	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD alt b3067 JW3039	Escherichia coli (strain K12)	613
P00582	reviewed	DPO1_ECOLI	DNA polymerase I, POL I, EC 2.7.7.7	polA resA b3863 JW3835	Escherichia coli (strain K12)	928
P00634	reviewed	PPB_ECOLI	Alkaline phosphatase, APase, EC 3.1.3.1	phoA b0383 JW0374	Escherichia coli (strain K12)	471
P00722	reviewed	BGAL_ECOLI	Beta-galactosidase, Beta-gal, EC 3.2.1.23 (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024
P00803	reviewed	LEP_ECOLI	Signal peptidase I, SPase I, EC 3.4.21.89 (Leader peptidase I)	lepB b2568 JW2552	Escherichia coli (strain K12)	324
P00804	reviewed	LSPA_ECOLI	Lipoprotein signal peptidase, EC 3.4.23.36 (Prolipoprotein signal peptidase) (Signal peptidase II, SPase II)	lspA lsp b0027 JW0025	Escherichia coli (strain K12)	164
P00805	reviewed	ASPG2_ECOLI	L-asparaginase 2, EC 3.5.1.1 (L-asparaginase II, L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	ansB b2957 JW2924	Escherichia coli (strain K12)	348
