(Proteins Complexes)	Object ID	GO terms (molecular function)	Reactions catalyzed by enzyme	Object ID
2,3-diketo-L-gulonate:Na+ symporter - periplasmic binding protein // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit	TRANS-CPLX-203		2,3-dioxo-L-gulonate:Na<sup>+</sup> symport	2,3-dioxo-L-gulonate:Na<sup>+</sup> symport
2-dehydro-3-deoxy-D-gluconate:H<sup>+</sup> symporter	KDGT-MONOMER	carbohydrate:proton symporter activity // symporter activity // 2-keto-3-deoxygluconate:proton symporter activity	2-dehydro-3-deoxy-D-gluconate:proton symport	2-dehydro-3-deoxy-D-gluconate:proton symport
2-nitroimidazole exporter	B1791-MONOMER	transmembrane transporter activity	a drug[cytosol]  ->  a drug[periplasm] // 2-nitroimidazole[cytosol]  ->  2-nitroimidazole[periplasm]	a drug[cytosol]  ->  a drug[periplasm] // 2-nitroimidazole[cytosol]  ->  2-nitroimidazole[periplasm]
2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II	HRSA-MONOMER	protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity // transferase activity // kinase activity // protein-N(PI)-phosphohistidine-sugar phosphotransferase activity // protein binding // carbohydrate:proton symporter activity // protein-phosphocysteine-sugar phosphotransferase activity // protein-phosphocysteine-mannosylglycerate-phosphotransferase system transporter activity	HPr-Phis15 + 2-O-(alpha-D-mannosyl)-D-glycerate[periplasm]  ->  2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate[cytosol] + phosphocarrier protein HPr	HPr-Phis15 + 2-O-(alpha-D-mannosyl)-D-glycerate[periplasm]  ->  2-O-(6-phospho-alpha-D-mannosyl)-D-glycerate[cytosol] + phosphocarrier protein HPr
3-hydroxyphenylpropionate/3-hydroxycinnamate:H<sup>+</sup> symporter	MHPT-MONOMER	transmembrane transporter activity // symporter activity // 3-hydroxyphenyl propionate:proton symporter activity	3-hydroxycinnamate:proton symport // 3-(3-hydroxyphenyl)propanoate:proton symport	3-hydroxycinnamate:proton symport // 3-(3-hydroxyphenyl)propanoate:proton symport
4-aminobutanoate:H<sup>+</sup> symporter	GABP-MONOMER	secondary active transmembrane transporter activity // gamma-aminobutyric acid transmembrane transporter activity	4-aminobutanoate:proton symport // 5-aminopentanaote:H<sup>+</sup> symport	4-aminobutanoate:proton symport // 5-aminopentanaote:H<sup>+</sup> symport
ABC exporter YbhFSR	ABC-57-CPLX		cefoperazone[cytosol] + ATP + H2O  ->  cefoperazone[periplasm] + ADP + phosphate + H+	cefoperazone[cytosol] + ATP + H2O  ->  cefoperazone[periplasm] + ADP + phosphate + H+
ABC-type tripartite efflux pump	TRANS-200-CPLX		a macrolide antibiotic[periplasm] + ATP + H2O  ->  a macrolide antibiotic[extracellular space] + ADP + phosphate + H+ // bacitracin[periplasm] + ATP + H2O  ->  bacitracin[extracellular space] + ADP + phosphate + H+ // a polymyxin[periplasm] + ATP + H2O  ->  a polymyxin[extracellular space] + ADP + phosphate + H+	a macrolide antibiotic[periplasm] + ATP + H2O  ->  a macrolide antibiotic[extracellular space] + ADP + phosphate + H+ // bacitracin[periplasm] + ATP + H2O  ->  bacitracin[extracellular space] + ADP + phosphate + H+ // a polymyxin[periplasm] + ATP + H2O  ->  a polymyxin[extracellular space] + ADP + phosphate + H+
acetate/glycolate:cation symporter	CPLX0-7955		acetate:Na<sup>+</sup> symport // glycolate:Na<sup>+</sup> symport // tellurite:Na<sup>+</sup> symport	acetate:Na<sup>+</sup> symport // glycolate:Na<sup>+</sup> symport // tellurite:Na<sup>+</sup> symport
acetate/succinate:H<sup>+</sup> symporter	EG11512-MONOMER	symporter activity // acetate:proton symporter activity	acetate:proton symport // succinate:proton symport	acetate:proton symport // succinate:proton symport
adenine transporter	EG11691-MONOMER	nucleobase transmembrane transporter activity // purine nucleobase transmembrane transporter activity // transmembrane transporter activity // adenine transmembrane transporter activity	transport of adenine	transport of adenine
adenine:H<sup>+</sup> symporter	EG11724-MONOMER	nucleobase transmembrane transporter activity // purine nucleobase transmembrane transporter activity // transmembrane transporter activity // adenine transmembrane transporter activity // solute:proton symporter activity	adenine:proton symport	adenine:proton symport
aerobic C4-dicarboxylate transporter DauA	YCHM-MONOMER	sulfate transmembrane transporter activity // secondary active sulfate transmembrane transporter activity // L-aspartate transmembrane transporter activity // succinate transmembrane transporter activity // fumarate transmembrane transporter activity	succinate:proton symport // aspartate:proton symport // fumarate:proton symport	succinate:proton symport // aspartate:proton symport // fumarate:proton symport
aliphatic sulfonate ABC transporter	ABC-56-CPLX		ATP + an aliphatic sulfonate[periplasm] + H2O  ->  an aliphatic sulfonate[cytosol] + ADP + phosphate + H+	ATP + an aliphatic sulfonate[periplasm] + H2O  ->  an aliphatic sulfonate[cytosol] + ADP + phosphate + H+
&alpha;-ketoglutarate:H<sup>+</sup> symporter	KGTP-MONOMER	transmembrane transporter activity // symporter activity // solute:cation symporter activity	2-oxoglutarate:proton symport	2-oxoglutarate:proton symport
