Object ID	Transporters	Gene	Reactions	Reaction-Direction	GO terms (molecular function)	GO terms (cellular component)	GO terms (biological process)
pyridoxal[periplasm]  ->  pyridoxal[cytosol]	transport of pyridoxal		pyridoxal[periplasm]  ->  pyridoxal[cytosol]	LEFT-TO-RIGHT			
6-sulfo-D-quinovose[periplasm]  ->  6-sulfo-D-quinovose[cytosol]	putative sulfoquinovose transporter	yihO	6-sulfo-D-quinovose[periplasm]  ->  6-sulfo-D-quinovose[cytosol]	LEFT-TO-RIGHT	transmembrane transporter activity // symporter activity // solute:cation symporter activity // sulfur compound transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	organic substance transport // ion transmembrane transport // carbohydrate transport // cation transmembrane transport // transmembrane transport // sodium ion transport // sulfur compound transport
5-ketogluconate:proton symport // D-gluconate:proton symport // L-iodonate:proton symport	L-idonate/5-ketogluconate/gluconate transporter	idnT	5-ketogluconate:proton symport // D-gluconate:proton symport // L-iodonate:proton symport	REVERSIBLE	L-idonate transmembrane transporter activity // gluconate transmembrane transporter activity	integral component of plasma membrane // membrane // plasma membrane // integral component of membrane	gluconate transmembrane transport // L-idonate catabolic process // D-gluconate metabolic process // L-idonate transmembrane transport // carbohydrate transport
asparagine:proton symport	L-asparagine transporter	ansP	asparagine:proton symport	REVERSIBLE		integral component of membrane // membrane // plasma membrane	transmembrane transport // amino acid transport
fosmidomycin:proton antiport	fosmidomycin efflux pump	fsr	fosmidomycin:proton antiport	REVERSIBLE	transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	transmembrane transport // cellular response to DNA damage stimulus // response to antibiotic
lactose:proton symport // melibiose:proton symport // lactulose:proton symport // 3-O-&beta;-D-galactopyranosyl-D-arabinose:proton symport // melibionate:proton symport	lactose permease	lacY	lactose:proton symport // melibiose:proton symport // lactulose:proton symport // 3-O-&beta;-D-galactopyranosyl-D-arabinose:proton symport // melibionate:proton symport	REVERSIBLE	transmembrane transporter activity // symporter activity // lactose binding // carbohydrate:proton symporter activity // protein binding // lactose:proton symporter activity	integral component of membrane // membrane // plasma membrane // integral component of plasma membrane	organic substance transport // carbohydrate transmembrane transport // proton transmembrane transport // transmembrane transport // carbohydrate transport // lactose transport
biotin[periplasm]  ->  biotin[cytosol]	biotin transporter	bioP	biotin[periplasm]  ->  biotin[cytosol]	LEFT-TO-RIGHT	biotin transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	biotin transport
Mg2+[periplasm] + ATP + H2O  ->  Mg2+[cytosol] + ADP + phosphate + H+	Mg<sup>2+</sup> importing P-type ATPase	mgtA	Mg2+[periplasm] + ATP + H2O  ->  Mg2+[cytosol] + ADP + phosphate + H+	PHYSIOL-LEFT-TO-RIGHT	ATPase-coupled cation transmembrane transporter activity // metal ion binding // nucleotide binding // P-type ion transporter activity // protein binding // ATP binding // P-type magnesium transporter activity	intracellular membrane-bounded organelle // integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	magnesium ion transport // cellular response to magnesium ion // magnesium ion transmembrane transport
L-aspartate:fumarate antiport // fumarate:succinate antiport // malate:succinate antiport // aspartate:succinate antiport // fumarate:proton symport	C4-dicarboxylate transporter DcuA	dcuA	L-aspartate:fumarate antiport // fumarate:succinate antiport // malate:succinate antiport // aspartate:succinate antiport // fumarate:proton symport	REVERSIBLE	succinate:fumarate antiporter activity // C4-dicarboxylate transmembrane transporter activity	membrane // integral component of plasma membrane // plasma membrane // integral component of membrane	succinate transmembrane transport // fumarate transport // cellular nitrogen compound biosynthetic process // L-aspartate import across plasma membrane // anaerobic respiration // C4-dicarboxylate transport
K<sup>+</sup>:proton symport	K+ transporter TrkH	trkH	K<sup>+</sup>:proton symport	REVERSIBLE	potassium:chloride symporter activity // metal ion binding // cation transmembrane transporter activity // potassium ion binding // potassium channel activity // potassium ion transmembrane transporter activity	integral component of membrane // membrane // integral component of plasma membrane // plasma membrane	potassium ion transport // transmembrane transport // cation transport // ion transport // potassium ion transmembrane transport
